geneProduct	methDiff	transcriptVariants
28S ribosomal protein S9 2C mitochondrial-like	-54	1
40S ribosomal protein S7-like	50	1
5'-AMP-activated protein kinase subunit gamma-2-like	-60	1
ADP-ribosylation factor-like protein 11	52	1
agglutinin-like protein 6	73	1
anaphase-promoting complex subunit 5-like	52	3
anoctamin-1-like	50	14
calcium uptake protein 3 2C mitochondrial-like	-57	4
calcyphosin-2-like	66	3
calmodulin-lysine N-methyltransferase-like	66	3
calmodulin-regulated spectrin-associated protein 1-like	-51	1
carnosine N-methyltransferase-like	51	1
CBP80/20-dependent translation initiation factor-like	51	1
centrosomal protein of 131 kDa-like	-59	1
centrosomal protein of 41 kDa-like	52	3
centrosomal protein of 41 kDa-like	61	3
centrosomal protein of 78 kDa-like	-57	1
cilia- and flagella-associated protein 54-like	55	5
cleavage and polyadenylation specificity factor subunit 5-like	56	1
coatomer subunit alpha-like	52	2
cortactin-binding protein 2-like	-59	2
cullin-3-B-like	57	1
CXXC-type zinc finger protein 1-like	-52	3
cystathionine beta-synthase-like	60	1
cystathionine gamma-lyase-like	58	1
cysteine-rich motor neuron 1 protein-like	54	1
cytochrome P450 4F4-like	51	1
cytohesin-1-like	-58	1
dihydrolipoyl dehydrogenase 2C mitochondrial-like	-52	1
disintegrin and metalloproteinase domain-containing protein 12-like	50	4
DNA excision repair protein ERCC-6-like	-55	1
dynein assembly factor 5 2C axonemal-like	64	1
dynein assembly factor 5 2C axonemal-like	-50	1
E3 ubiquitin-protein ligase HACE1-like	-50	6
ecto-NOX disulfide-thiol exchanger 2-like	-56	1
endonuclease 8-like 1	-59	1
eukaryotic translation initiation factor 4E transporter-like	-55	5
exportin-7-like	-54	2
extracellular matrix protein 3-like	-53	1
fas-binding factor 1-like	-51	1
flocculation protein FLO11-like	55	1
formin-like protein CG32138	-58	1
GMP reductase 2-like	62	1
GPI transamidase component PIG-T-like	-65	1
H(+)/Cl(-) exchange transporter 7-like	57	1
hemK methyltransferase family member 2-like	-51	1
kelch-like protein 40	51	1
kinesin-like protein KIF12	63	15
kinesin-like protein KIF13B	-54	8
leucine-rich repeat protein SHOC-2-like	-55	1
mitochondrial-processing peptidase subunit beta-like	-51	1
NADH dehydrogenase [ubiquinone] flavoprotein 1 2C mitochondrial-like	51	1
NHL repeat-containing protein 2-like	51	1
nuclear receptor subfamily 5 group A member 2-like	51	4
nucleolar protein 6-like	50	1
nucleoplasmin-like protein ANO39	-53	1
oxysterol-binding protein-related protein 11-like	53	1
P2X purinoceptor 4-like	-52	2
peptidyl-glycine alpha-amidating monooxygenase-like	67	1
peptidyl-prolyl cis-trans isomerase-like 2	-52	1
phosphatidylserine synthase 1-like	-51	1
piwi-like protein 1	-62	5
poly [ADP-ribose] polymerase 14-like	63	6
post-GPI attachment to proteins factor 3-like	-74	1
pre-mRNA-processing factor 40 homolog A-like	-66	1
probable helicase with zinc finger domain	-59	3
probable proline iminopeptidase	-60	1
prostaglandin reductase 2-like	-53	1
protein CBFA2T1-like	51	2
protein diaphanous homolog 2-like	52	1
protein FAM161A-like	-57	1
protein FAM210A-like	63	1
protein FAM53A-like	-55	5
protein N-terminal asparagine amidohydrolase-like	51	3
protein PAT1 homolog 1-like	56	2
protein transport protein Sec24C-like	-53	4
protein transport protein Sec31A-like	-84	2
protocadherin Fat 4-like	-51	1
putative ankyrin repeat protein RF_0381	-51	4
putative RNA polymerase II subunit B1 CTD phosphatase RPAP2	-53	1
putative transcription factor p65 homolog	69	1
ras-related protein Rab-18A-like	60	1
receptor-type tyrosine-protein phosphatase N2-like	-68	1
rho family-interacting cell polarization regulator 2-like	50	11
RNA-binding protein 28-like	-57	1
S phase cyclin A-associated protein in the endoplasmic reticulum-like	55	1
selenoprotein M-like	-54	1
sentrin-specific protease 8-like	-51	1
serine--tRNA ligase 2C cytoplasmic-like	-63	1
serine-aspartate repeat-containing protein I-like	56	2
serine/arginine-rich splicing factor 7-like	63	1
serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A-like	50	3
short-chain dehydrogenase/reductase family 42E member 1-like	-58	2
sodium/hydrogen exchanger 8-like	57	2
sorting nexin-10-like	-79	1
sperm-tail PG-rich repeat-containing protein 2-like	-58	1
sterol regulatory element-binding protein cleavage-activating protein-like	-52	1
structural maintenance of chromosomes flexible hinge domain-containing protein 1-like	-63	1
synaptojanin-1-like	59	4
synaptojanin-2-binding protein-like	51	2
tectonic-3-like	-56	3
telomere-associated protein RIF1-like	55	1
TFIIH basal transcription factor complex helicase XPD subunit-like	58	1
thioredoxin domain-containing protein-like	52	2
transaldolase-like	52	2
transformation/transcription domain-associated protein-like	55	4
tripartite motif-containing protein 5-like	-55	1
triple functional domain protein-like	53	1
tRNA 2'-phosphotransferase 1-like	-70	2
tubulin-specific chaperone D-like	57	1
tyrosine-protein kinase SRK2-like	50	1
tyrosine-protein phosphatase 99A-like	-72	6
U4/U6 small nuclear ribonucleoprotein Prp3-like	60	1
uncharacterized LOC111100089	-72	2
uncharacterized LOC111106353	-54	1
uncharacterized LOC111111204	-54	1
uncharacterized LOC111111251	-52	1
uncharacterized LOC111114467	60	4
uncharacterized LOC111116784	56	1
uncharacterized LOC111120045	-71	3
uncharacterized LOC111120384	-61	1
uncharacterized LOC111121240	-66	1
uncharacterized LOC111121323	-63	7
uncharacterized LOC111125959	-54	1
uncharacterized LOC111126011	64	1
uncharacterized LOC111126204	-57	1
uncharacterized LOC111132500	-63	1
uncharacterized LOC111133121	73	3
