geneProduct	methDiff	transcriptVariants
1-phosphatidylinositol 4 2C5-bisphosphate phosphodiesterase beta-1-like	62	20
2-oxoisovalerate dehydrogenase subunit beta 2C mitochondrial-like	-54	1
26S proteasome non-ATPase regulatory subunit 1-like	-55	1
26S proteasome non-ATPase regulatory subunit 1-like	51	1
26S proteasome non-ATPase regulatory subunit 1-like	54	1
26S proteasome regulatory subunit 7	52	1
28S ribosomal protein S9 2C mitochondrial-like	-70	1
2C4-alpha-glucan-branching enzyme-like	64	2
3-ketoacyl-CoA thiolase A 2C peroxisomal-like	52	1
39S ribosomal protein L21 2C mitochondrial-like	50	1
39S ribosomal protein L45 2C mitochondrial-like	-50	1
39S ribosomal protein L55 2C mitochondrial-like	59	1
4-hydroxybutyrate coenzyme A transferase-like	50	1
4-hydroxybutyrate coenzyme A transferase-like	53	1
40S ribosomal protein S7-like	56	1
46 kDa FK506-binding nuclear protein-like	-59	2
6-pyruvoyl tetrahydrobiopterin synthase-like	56	1
60S ribosomal protein L15-like	-51	1
60S ribosomal protein L17-like	51	1
7-methylguanosine phosphate-specific 5'-nucleotidase A-like	-56	2
A disintegrin and metalloproteinase with thrombospondin motifs 9-like	-57	1
A disintegrin and metalloproteinase with thrombospondin motifs 9-like	59	2
A-kinase anchor protein 9-like	-54	18
A-kinase anchor protein 9-like	-53	11
A-kinase anchor protein 9-like	51	11
A-kinase anchor protein 9-like	52	18
A-kinase anchor protein 9-like	53	18
A-kinase anchor protein 9-like	54	14
A-kinase anchor protein 9-like	55	17
A-kinase anchor protein 9-like	56	14
A-kinase anchor protein 9-like	57	18
A-kinase anchor protein 9-like	65	18
A-kinase anchor protein 9-like	66	18
abl interactor 1-like	-51	1
abnormal spindle-like microcephaly-associated protein homolog	52	1
actin-related protein 3	-60	2
actin-related protein 3	-52	2
actin-related protein 3	53	2
actin-related protein 3	73	2
actin-related protein 8-like	75	1
activating signal cointegrator 1 complex subunit 3-like	52	1
activating signal cointegrator 1 complex subunit 3-like	56	1
acyl-CoA dehydrogenase family member 9 2C mitochondrial-like	51	2
acyl-coenzyme A amino acid N-acyltransferase 2-like	67	3
acyl-coenzyme A thioesterase 4-like	-59	1
acylamino-acid-releasing enzyme-like	55	1
adenomatous polyposis coli protein-like	-60	3
adenomatous polyposis coli protein-like	-51	2
adenylate cyclase type 2-like	-51	6
adipocyte plasma membrane-associated protein-like	-52	2
ADP-ribosylation factor-like protein 11	51	1
afadin-like	-58	6
alanine--tRNA ligase 2C cytoplasmic-like	-50	1
aldehyde dehydrogenase family 16 member A1-like	51	1
aldehyde dehydrogenase family 16 member A1-like	52	1
alpha-(12C6)-fucosyltransferase-like	-62	3
alpha-L-fucosidase-like	61	1
alpha-mannosidase 2-like	-61	1
alpha-mannosidase 2-like	-60	1
alpha-mannosidase 2x-like	-50	1
aminoacylase-1-like	-51	2
androglobin-like	-50	29
androglobin-like	56	29
ankyrin repeat and IBR domain-containing protein 1-like	-53	1
ankyrin repeat and zinc finger domain-containing protein 1-like	67	2
ankyrin repeat domain-containing protein 26-like	-73	19
ankyrin repeat domain-containing protein 26-like	-65	19
ankyrin-3-like	75	1
anoctamin-8-like	53	1
AP-2 complex subunit alpha-2-like	-64	1
archaemetzincin-2-like	-53	1
arf-GAP domain and FG repeat-containing protein 1-like	59	3
arginine/serine-rich protein PNISR-like	54	4
armadillo repeat-containing protein 6-like	-57	1
arrestin domain-containing protein 3-like	-54	1
arrestin domain-containing protein 3-like	53	1
ataxin-7-like	-52	1
ATP-binding cassette sub-family A member 1-like	-55	1
ATP-binding cassette sub-family B member 6 2C mitochondrial-like	-53	2
ATP-binding cassette sub-family D member 3-like	64	1
ATP-binding cassette sub-family F member 1-like	51	1
ATP-citrate synthase-like	-51	1
ATP-dependent 6-phosphofructokinase-like	-52	2
ATP-dependent RNA helicase DDX42-like	-50	1
ATP-dependent RNA helicase DDX42-like	56	1
ATP-dependent RNA helicase DHX36-like	50	1
ATP-dependent zinc metalloprotease YME1 homolog	-50	1
ATPase family AAA domain-containing protein 5-like	54	3
atrial natriuretic peptide receptor 1-like	-58	5
baculoviral IAP repeat-containing protein 8-like	-51	2
band 3 anion transport protein-like	-67	9
band 3 anion transport protein-like	-64	9
band 3 anion transport protein-like	50	9
band 3 anion transport protein-like	54	9
beclin 1-associated autophagy-related key regulator-like	-50	1
beta-1-syntrophin-like	56	1
beta-glucuronidase-like	57	1
bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical]-like	68	1
bleomycin hydrolase-like	62	1
borealin-like	53	1
