"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"1999","NC_035780.1",1958999,1958999,"+",1.28313154413808e-119,1.25431714039425e-115,50.1707069734689
"2335","NC_035780.1",2541727,2541727,"+",2.03660481098861e-40,4.05782456179021e-38,-54.8397213018639
"2573","NC_035780.1",2584493,2584493,"+",6.34775642021711e-56,3.32051329196705e-53,56.3020163020163
"2594","NC_035780.1",2586509,2586509,"+",6.66191639817937e-71,7.71829845035524e-68,-53.8495091547371
"2601","NC_035780.1",2588795,2588795,"+",1.27417519999374e-115,9.96449538174826e-112,-53.3420013393748
"3275","NC_035780.1",4286287,4286287,"+",6.01218769036261e-89,1.84381995952427e-85,53.6504613905947
"3286","NC_035780.1",4288214,4288214,"+",3.4930555204584e-29,3.00847081225192e-27,-58.5382109004739
"6171","NC_035780.1",15534532,15534532,"+",4.29209122268296e-58,2.60198863764232e-55,55.0353892821031
"8001","NC_035780.1",19482569,19482569,"+",1.39169778758904e-76,2.22113532454986e-73,56.7761299435028
"9574","NC_035780.1",21880069,21880069,"+",2.91970435705105e-40,5.74417823750091e-38,-50.4673807205453
"9847","NC_035780.1",21941411,21941411,"+",6.47855717110377e-147,1.01329162602086e-142,-55.62553594887
"10558","NC_035780.1",23288707,23288707,"+",6.09506592973259e-31,6.09533833315451e-29,50.1824262693828
"11371","NC_035780.1",24258095,24258095,"+",9.57483535031815e-29,8.01268686956504e-27,-50.2401798176446
"12269","NC_035780.1",25858298,25858298,"+",1.1893477582355e-26,8.38693881013192e-25,-50.8922443376802
"13715","NC_035780.1",26637855,26637855,"+",2.24631477067468e-76,3.51339331646867e-73,-52.2310038824182
"14410","NC_035780.1",27396183,27396183,"+",4.15635441567332e-28,3.30326668246362e-26,52.7398259347498
"15129","NC_035780.1",28493520,28493520,"+",6.55976811669343e-44,1.66018379541649e-41,-53.4877365580378
"15320","NC_035780.1",28739473,28739473,"+",1.57380923660051e-111,1.02564485571631e-107,69.5166914846549
"16784","NC_035780.1",31303160,31303160,"+",3.38965275486354e-34,4.34205883858335e-32,-55.7934637844483
"16789","NC_035780.1",31303208,31303208,"+",3.82076131837781e-62,3.06458347143575e-59,-62.9500246588854
"17567","NC_035780.1",32447268,32447268,"+",8.51689537946893e-37,1.34149241650287e-34,64.3525843881856
"17790","NC_035780.1",32717031,32717031,"+",4.50305149117891e-26,3.02538113872617e-24,-52.3707317073171
"17894","NC_035780.1",32781382,32781382,"+",2.07697538447448e-58,1.29423692422291e-55,51.0166753765024
"17962","NC_035780.1",32787977,32787977,"+",3.23793924080627e-56,1.7109335477376e-53,-60.684361751291
"20096","NC_035780.1",39872842,39872842,"+",1.72797428917668e-84,4.09495844231776e-81,52.3416703232412
"23734","NC_035780.1",48579389,48579389,"+",2.04245716986742e-42,4.69786144024373e-40,-57.0273886567816
"24433","NC_035780.1",54211053,54211053,"+",4.5525805411118e-66,4.26380490244319e-63,-62.8450920245399
"26139","NC_035780.1",57330454,57330454,"+",3.34728603297899e-21,1.44544155921915e-19,53.9274322169059
"26338","NC_035780.1",58135768,58135768,"+",3.54708917254273e-37,5.72538225367089e-35,74.0879977722083
"27371","NC_035780.1",60359487,60359487,"+",1.51318427752221e-138,1.97227165008106e-134,71.1262534490881
"28492","NC_035780.1",62750218,62750218,"+",1.00790299525315e-52,4.45319416942718e-50,54.8072643105137
"30151","NC_035781.1",631900,631900,"+",2.63764129012244e-48,9.22920659108145e-46,-57.7343905734346
"30757","NC_035781.1",783410,783410,"+",3.01104719871948e-29,2.60913478557064e-27,-50.6043956043956
"31541","NC_035781.1",1730674,1730674,"+",7.05230362949245e-36,1.02132368753948e-33,51.9630435710323
"31624","NC_035781.1",1874188,1874188,"+",2.30219714248896e-15,5.43352535401773e-14,-50.7760532150776
"31756","NC_035781.1",2277405,2277405,"+",1.70912653196367e-57,9.79191707769004e-55,57.8160108372067
"32022","NC_035781.1",2383029,2383029,"+",5.43557258711535e-43,1.30593171540427e-40,67.0758928571429
"33204","NC_035781.1",3401689,3401689,"+",2.8233711556776e-79,5.01812481621781e-76,50.8032128514056
"34669","NC_035781.1",5035160,5035160,"+",5.02124474290989e-18,1.58115114915374e-16,-50.8254716981132
"35626","NC_035781.1",5648772,5648772,"+",1.03863060264075e-88,3.00831641066693e-85,-52.9210829809435
"35929","NC_035781.1",5855168,5855168,"+",3.75449331342164e-99,1.67779713642333e-95,-55.3068049196517
"37659","NC_035781.1",9369564,9369564,"+",5.49732463629934e-30,5.06969338951145e-28,52.8994901045718
"38459","NC_035781.1",10383011,10383011,"+",1.23306040539502e-57,7.16948945618827e-55,-58.7995327522689
"38500","NC_035781.1",10426303,10426303,"+",1.82156182074234e-114,1.29502273316925e-110,55.4274193548387
"38519","NC_035781.1",10427420,10427420,"+",5.65131769082866e-76,8.49909220178291e-73,61.6381348718434
"38525","NC_035781.1",10427643,10427643,"+",4.04392645431604e-70,4.51784545780335e-67,63.578481266577
"38554","NC_035781.1",10430445,10430445,"+",1.05156478636832e-18,3.55692220846979e-17,-51.110197368421
"39338","NC_035781.1",11919273,11919273,"+",1.30472135570136e-25,8.41168754749294e-24,-50.5014053228773
"39370","NC_035781.1",11960873,11960873,"+",1.11833862243363e-78,1.92215360024866e-75,53.4792357184636
"39892","NC_035781.1",13033011,13033011,"+",1.0457100862195e-94,3.71719015665014e-91,-65.1505281078452
"40641","NC_035781.1",13841609,13841609,"+",1.0472581443278e-41,2.30377628694112e-39,54.39604759024
"41446","NC_035781.1",15604575,15604575,"+",2.47803373518758e-69,2.65466984512905e-66,55.7306103471092
"41965","NC_035781.1",19453325,19453325,"+",1.06506815185886e-65,9.79906492173675e-63,-50.6057104338196
"42167","NC_035781.1",19617854,19617854,"+",3.49728001672538e-34,4.46894640727049e-32,50.3064530251292
"43081","NC_035781.1",20620124,20620124,"+",5.48498395664477e-39,9.9870760221544e-37,58.7183544303797
"44603","NC_035781.1",22901073,22901073,"+",4.89069071357757e-69,5.13381351031955e-66,55.2788444210322
"44891","NC_035781.1",23710327,23710327,"+",7.35255471942721e-25,4.44870774364884e-23,-52.6833989720312
"45747","NC_035781.1",26609797,26609797,"+",1.06968971497326e-78,1.85896609383197e-75,-55.1570180092699
"47507","NC_035781.1",29991126,29991126,"+",8.17823004938504e-54,3.86444817137699e-51,-50.5859223271962
"47720","NC_035781.1",30153251,30153251,"+",9.31120277006302e-137,1.12025938277284e-132,60.3183023872679
"48197","NC_035781.1",30488985,30488985,"+",1.0530901984765e-59,7.28808265645305e-57,55.1654532279769
"49446","NC_035781.1",32146060,32146060,"+",3.46162076842926e-36,5.15639699582714e-34,52.3583412472301
"53394","NC_035781.1",42529449,42529449,"+",3.9538549269496e-21,1.69520435203256e-19,-50.6981032665964
"53590","NC_035781.1",43054123,43054123,"+",1.64845184683703e-31,1.73622485762432e-29,-62.3285583663517
"53879","NC_035781.1",45110113,45110113,"+",2.99830204730537e-107,1.73687184454449e-103,66.5597433841219
"53880","NC_035781.1",45110120,45110120,"+",8.0471202978681e-93,2.62213721488462e-89,66.7718675345738
"54119","NC_035781.1",47215728,47215728,"+",2.04065856166405e-20,8.12559223629014e-19,50.7333522935034
"55238","NC_035781.1",52592743,52592743,"+",1.54307440823878e-151,3.01684529228492e-147,56.0003710156149
"55315","NC_035781.1",52610572,52610572,"+",5.88672670447401e-34,7.40728241516318e-32,51.3338946039096
"56156","NC_035781.1",52956462,52956462,"+",4.74411553992887e-67,4.58032611934135e-64,-54.6738267761985
"56374","NC_035781.1",53358700,53358700,"+",7.38592661008781e-36,1.06766224463834e-33,56.9805289160128
"56376","NC_035781.1",53358849,53358849,"+",2.57560656269763e-22,1.23647289636471e-20,-55.3096355913257
"56400","NC_035781.1",53364502,53364502,"+",2.18518927180629e-55,1.10967167650256e-52,-58.8854149688088
"58481","NC_035781.1",54799287,54799287,"+",8.99482437892358e-89,2.65444038825942e-85,55.4419665700154
"58700","NC_035781.1",56296257,56296257,"+",8.27150790643787e-24,4.58929284700832e-22,64.4153957879448
"58908","NC_035781.1",57193294,57193294,"+",7.07981127699092e-28,5.53665985443538e-26,50.0324057196095
"60031","NC_035781.1",59274789,59274789,"+",3.80191661896016e-36,5.64180582750004e-34,52.3089503648959
"60035","NC_035781.1",59274912,59274912,"+",1.14880362656837e-42,2.69386682483662e-40,64.2941336476562
"60320","NC_035781.1",59602903,59602903,"+",2.0306357121202e-116,1.76447566285619e-112,56.3869023954476
"60324","NC_035781.1",59604046,59604046,"+",4.07743645450381e-44,1.03697489813553e-41,56.2838468720822
"60334","NC_035781.1",59605797,59605797,"+",1.07179604206705e-33,1.31893306628921e-31,-57.8012912482066
"60452","NC_035781.1",59696863,59696863,"+",7.84729480772599e-27,5.61060872805449e-25,-53.1914893617021
"60535","NC_035781.1",59716718,59716718,"+",5.79958408096653e-71,6.76936931917968e-68,54.1202672605791
"60540","NC_035781.1",59717178,59717178,"+",6.59735951710059e-55,3.28622020175528e-52,56.8649885583524
"61993","NC_035782.1",6260448,6260448,"+",5.62231929676765e-31,5.64791616018466e-29,-54.2799776343212
"62135","NC_035782.1",6690565,6690565,"+",5.28650815864828e-97,2.12012007223239e-93,-67.3356788741404
"62732","NC_035782.1",6897407,6897407,"+",3.06193797104004e-34,3.93515613235657e-32,-52.8707114371823
"63065","NC_035782.1",8707638,8707638,"+",1.11202019959258e-48,3.97095278824542e-46,53.2919254658385
"64406","NC_035782.1",13869669,13869669,"+",1.82196407889574e-48,6.40377342211617e-46,50.0711721090314
"64671","NC_035782.1",14304748,14304748,"+",3.7920417488941e-32,4.19449671510488e-30,53.4301856335755
"64871","NC_035782.1",15148527,15148527,"+",8.7578255629384e-25,5.26840436292164e-23,-50.8036809815951
"65753","NC_035782.1",19354458,19354458,"+",5.34730993108123e-34,6.7393767153698e-32,54.7875201721356
"66568","NC_035782.1",20856834,20856834,"+",2.16022948106505e-35,3.02755367943049e-33,-59.9245852187029
"68636","NC_035782.1",22251781,22251781,"+",1.12863632065246e-32,1.29513286576613e-30,-52.0505463904477
"68765","NC_035782.1",22559284,22559284,"+",2.3313655879684e-56,1.24027848288513e-53,52.6153771129358
"69163","NC_035782.1",22960247,22960247,"+",1.75627216451248e-36,2.68780080914658e-34,53.0790847049378
"71153","NC_035782.1",29760017,29760017,"+",6.78595007521677e-31,6.75601543519721e-29,50.1901402391809
"71172","NC_035782.1",29947819,29947819,"+",3.20194583198098e-50,1.23655977629571e-47,56.0986660867044
"74201","NC_035782.1",34498894,34498894,"+",4.11851424847773e-30,3.85496359342013e-28,-54.5828122208326
"74202","NC_035782.1",34498896,34498896,"+",2.25086954776261e-44,5.81903686976614e-42,-71.4352657651627
"76360","NC_035782.1",36499041,36499041,"+",3.62763623733958e-29,3.11580265969678e-27,-50.3867936326443
"76569","NC_035782.1",37370861,37370861,"+",3.47060646226968e-57,1.94561688131751e-54,73.5104270109235
"76571","NC_035782.1",37370873,37370873,"+",2.41023521887853e-40,4.77791680016887e-38,74.4024632084334
"76608","NC_035782.1",37843186,37843186,"+",6.65683297625808e-43,1.58233314297396e-40,-55.3544169674766
"78074","NC_035782.1",41847824,41847824,"+",3.44550372518057e-54,1.66842373480263e-51,-54.1447289337661
"78612","NC_035782.1",45857196,45857196,"+",8.46392282619501e-52,3.53961682348266e-49,52.1154543173391
"80702","NC_035782.1",49575757,49575757,"+",3.08904809442446e-30,2.92640044883187e-28,-63.7457871930669
"81503","NC_035782.1",50390336,50390336,"+",3.77249355729199e-27,2.76108732666998e-25,50.8443113772455
"81541","NC_035782.1",50620241,50620241,"+",1.9900442246807e-32,2.23925774782861e-30,54.8184751916095
"82118","NC_035782.1",51594719,51594719,"+",5.6469355001973e-52,2.38064739552455e-49,-55.3852359822509
"83633","NC_035782.1",53681703,53681703,"+",1.32899771566061e-159,3.46440887148517e-155,-68.3955007213452
"86430","NC_035782.1",58675270,58675270,"+",1.01651417134396e-32,1.17249204815321e-30,51.1856564488143
"86717","NC_035782.1",58948371,58948371,"+",3.09312974058541e-33,3.69585265158143e-31,-50.1062833261277
"89096","NC_035782.1",63514945,63514945,"+",2.91690042301386e-57,1.65298411231409e-54,50.8899987194263
"89888","NC_035782.1",64758096,64758096,"+",4.21795650020339e-62,3.34882172447559e-59,53.1891025641026
"90572","NC_035782.1",65377029,65377029,"+",1.08463920777841e-20,4.43981035370443e-19,50.4778554778555
"90614","NC_035782.1",65431229,65431229,"+",1.1585087601558e-41,2.53779927097451e-39,-60.5834025662328
"92497","NC_035782.1",68619438,68619438,"+",1.50187152241765e-17,4.48802453260143e-16,50.2354452054795
"95379","NC_035783.1",2891929,2891929,"+",5.04887658298625e-28,3.9963541939088e-26,52.6856699631569
"95586","NC_035783.1",4336101,4336101,"+",2.3930751417945e-25,1.51290897142351e-23,63.3480825958702
"96101","NC_035783.1",6430848,6430848,"+",9.44920082800152e-42,2.08451489204339e-39,-52.7257924562663
"100491","NC_035783.1",15005744,15005744,"+",2.48953789134321e-85,6.28034077136244e-82,-50.6423849854558
"100959","NC_035783.1",16217947,16217947,"+",2.66566223615431e-23,1.40664037261912e-21,50.3784842817704
"102914","NC_035783.1",18125850,18125850,"+",2.72688358465408e-66,2.58487062594371e-63,-52.029280948851
"104372","NC_035783.1",19526093,19526093,"+",1.60345920763635e-44,4.21499543012138e-42,52.1646803900325
"104557","NC_035783.1",19556697,19556697,"+",1.3368122276415e-36,2.06607486744636e-34,51.0165032288926
"107358","NC_035783.1",20719352,20719352,"+",1.28236069406312e-52,5.64986411614628e-50,52.9867221244601
"108106","NC_035783.1",20844475,20844475,"+",9.65336426624843e-54,4.53409503688406e-51,66.3063063063063
"108212","NC_035783.1",20856441,20856441,"+",1.22332507745912e-53,5.6945414593253e-51,54.7402769819864
"108719","NC_035783.1",20953373,20953373,"+",5.92805650017114e-173,3.09063157714304e-168,53.9725993883792
"108742","NC_035783.1",20959328,20959328,"+",1.94075231966652e-44,5.05070263658108e-42,50.3531567549559
"108984","NC_035783.1",21066969,21066969,"+",5.07715074398056e-111,3.17640746051768e-107,56.1989417681775
"108985","NC_035783.1",21066995,21066995,"+",1.19495964095559e-143,1.69909127720583e-139,61.7187557654699
"109031","NC_035783.1",21071070,21071070,"+",4.27991291256583e-81,8.58215763697747e-78,52.5988379436655
"109080","NC_035783.1",21073267,21073267,"+",4.49832383893399e-46,1.33504609343176e-43,-52.5273999008647
