Annotation Cluster 1	Enrichment Score: 1.740645261718844
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR011042:Six-bladed beta-propeller, TolB-like	8	0.8743169398907104	4.103605693951225E-4	O75382, D2GXS7, Q9U489, O75581, Q9R1R2, O70277, P55884, A4IF63	166	15	1556	4.999196787148595	0.14721906249308547	0.07653861071135493	0.5683315759520302
INTERPRO	IPR013017:NHL repeat, subgroup	6	0.6557377049180327	5.431780343369844E-4	O75382, D2GXS7, Q9U489, Q9R1R2, O70277, A4IF63	166	8	1556	7.030120481927711	0.1900723337906819	0.06785799692944539	0.7516349619637874
INTERPRO	IPR017868:Filamin/ABP280 repeat-like	6	0.6557377049180327	5.431780343369844E-4	O75382, D2GXS7, Q9U489, Q9R1R2, O70277, A4IF63	166	8	1556	7.030120481927711	0.1900723337906819	0.06785799692944539	0.7516349619637874
INTERPRO	IPR001298:Filamin/ABP280 repeat	6	0.6557377049180327	5.431780343369844E-4	O75382, D2GXS7, Q9U489, Q9R1R2, O70277, A4IF63	166	8	1556	7.030120481927711	0.1900723337906819	0.06785799692944539	0.7516349619637874
INTERPRO	IPR001258:NHL repeat	6	0.6557377049180327	5.431780343369844E-4	O75382, D2GXS7, Q9U489, Q9R1R2, O70277, A4IF63	166	8	1556	7.030120481927711	0.1900723337906819	0.06785799692944539	0.7516349619637874
INTERPRO	IPR003649:B-box, C-terminal	6	0.6557377049180327	0.001117781083322545	O75382, D2GXS7, Q9U489, Q9R1R2, O70277, A4IF63	166	9	1556	6.2489959839357425	0.3520499256859101	0.1028080133206607	1.5410461741299897
SMART	SM00557:IG_FLMN	6	0.6557377049180327	0.001658998189978782	O75382, D2GXS7, Q9U489, Q9R1R2, O70277, A4IF63	114	8	836	5.5	0.1860746343476073	0.1860746343476073	1.8990453669287644
INTERPRO	IPR014756:Immunoglobulin E-set	7	0.7650273224043715	0.0028781937705945476	O75382, D2GXS7, Q9U489, Q04446, Q9R1R2, O70277, A4IF63	166	15	1556	4.37429718875502	0.6731811931761212	0.17005144458370813	3.92344490402996
SMART	SM00502:BBC	6	0.6557377049180327	0.003331585545678828	O75382, D2GXS7, Q9U489, Q9R1R2, O70277, A4IF63	114	9	836	4.888888888888888	0.33887100481901433	0.18690160793358734	3.7802461085780226
UP_SEQ_FEATURE	repeat:Filamin	4	0.4371584699453552	0.009319147728729379	O75382, Q9U489, Q9R1R2, O70277	151	5	1448	7.671523178807948	0.999369222376493	0.9142385544093402	13.36017514326352
UP_SEQ_FEATURE	repeat:NHL 6	4	0.4371584699453552	0.009319147728729379	O75382, Q9U489, Q9R1R2, O70277	151	5	1448	7.671523178807948	0.999369222376493	0.9142385544093402	13.36017514326352
