"","chr","start","end","meth.diff","strand","pvalue","qvalue","exon-start","exon-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product"
"1","NC_035780.1",571139,571139,58.2278481012658,"+",9.537633295453e-30,2.55316307346757e-27,570942,571194,544088,573497,"111114201",544088,573497,"XM_022452489.1","Q80TY5","VP13B_MOUSE",0,"vacuolar protein sorting-associated protein 13B-like"
"2","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2547989,"XM_022479346.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"3","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2553408,"XM_022479322.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"4","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2538955,"XM_022479355.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"5","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2536871,"XM_022479370.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"6","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2537545,"XM_022479361.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"7","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2543287,"XM_022479339.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"8","NC_035780.1",2538925,2538925,-50.2505846976278,"+",7.04346175157579e-15,3.14980483642906e-13,2538624,2538955,2524425,2553408,"111131682",2524425,2547594,"XM_022479329.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"9","NC_035780.1",2586509,2586509,-53.8495091547371,"+",6.66191639817937e-71,6.64833685546064e-67,2586438,2586557,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog"
"10","NC_035780.1",2589721,2589721,57.042957042957,"+",1.68486904936225e-36,8.81255052160502e-34,2589716,2589955,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog"
"11","NC_035780.1",4286287,4286287,67.4630816383394,"+",7.52375071158354e-42,6.25701201644084e-39,4286174,4286407,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",1e-79,"calmodulin-regulated spectrin-associated protein 1-like"
