"","chr","start","end","meth.diff","strand","pvalue","qvalue","intron-start","intron-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product"
"1","NC_035780.1",401631,401631,53.6670362743545,"+",1.9894967724195e-27,4.12259429890381e-25,401604,401800,394983,409280,"111117672",394983,409280,"XM_022456873.1","O15118","NPC1_HUMAN",0,"Niemann-Pick C1 protein-like"
"2","NC_035780.1",1882692,1882692,64.8148148148148,"+",1.54857474241667e-28,3.67257165563022e-26,1882355,1882971,1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1"
"3","NC_035780.1",1885023,1885023,61.2143987341772,"+",1.56214555549646e-14,6.6656460716732e-13,1884754,1886042,1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1"
"4","NC_035780.1",1933500,1933500,51.324937688574,"+",1.26044543179399e-19,1.04857966005056e-17,1932876,1933573,1928718,1940217,"111100652",1928718,1940217,"XM_022432742.1","Q8CI95","OSB11_MOUSE",0,"oxysterol-binding protein-related protein 11-like"
"12","NC_035780.1",2584493,2584493,56.4664786447676,"+",3.12717630109529e-57,9.28810093887902e-54,2584153,2584504,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog"
"16","NC_035780.1",8833125,8833125,60.1254480286738,"+",1.87756815984505e-15,9.11352604694824e-14,8832171,8833699,8829533,8833841,"111138481",8829533,8833841,"XM_022490472.1","Q8BTK5","SMYD4_MOUSE",4e-49,"SET and MYND domain-containing protein 4-like"
"34","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486449.1","Q91YD4","TRPM2_MOUSE",4e-63,"transient receptor potential cation channel subfamily M member 1-like"
"35","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486465.1","Q91YD4","TRPM2_MOUSE",5e-65,"transient receptor potential cation channel subfamily M member 1-like"
"36","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486441.1","O94759","TRPM2_HUMAN",2e-62,"transient receptor potential cation channel subfamily M member 1-like"
"37","NC_035780.1",27396183,27396183,52.6108743502084,"+",2.448830698055e-28,5.67279257459875e-26,27396140,27396706,27361633,27399528,"111135947",27361633,27399528,"XM_022486458.1","Q91YD4","TRPM2_MOUSE",4e-64,"transient receptor potential cation channel subfamily M member 1-like"
"44","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32764085,32800756,"XM_022486734.1","Q9C0H5","RHG39_HUMAN",3e-41,"rho GTPase-activating protein 39-like"
"45","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32774894,32800756,"XM_022486752.1","Q9C0H5","RHG39_HUMAN",6e-22,"rho GTPase-activating protein 39-like"
"46","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32780044,32800756,"XM_022486775.1","Q9C0H5","RHG39_HUMAN",2e-162,"rho GTPase-activating protein 39-like"
"47","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32754200,32800756,"XM_022486743.1","Q9C0H5","RHG39_HUMAN",2e-41,"rho GTPase-activating protein 39-like"
"48","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32781557,32800756,"XM_022486782.1","Q9C0H5","RHG39_HUMAN",7e-162,"rho GTPase-activating protein 39-like"
"49","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32754200,32800756,"XM_022486743.1","Q9C0H5","RHG39_HUMAN",6e-162,"rho GTPase-activating protein 39-like"
"50","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32769864,32800756,"XM_022486761.1","Q9C0H5","RHG39_HUMAN",3e-162,"rho GTPase-activating protein 39-like"
"51","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32769864,32800756,"XM_022486761.1","Q9C0H5","RHG39_HUMAN",1e-22,"rho GTPase-activating protein 39-like"
"52","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32760682,32800756,"XM_022486726.1","Q9C0H5","RHG39_HUMAN",4e-43,"rho GTPase-activating protein 39-like"
"53","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32754200,32800756,"111136106",32760682,32800756,"XM_022486715.1","Q9C0H5","RHG39_HUMAN",1e-40,"rho GTPase-activating protein 39-like"
"54","NC_035780.1",32766798,32766798,58.1214689265537,"+",3.6984292636719e-19,2.91447445138457e-17,32766346,32769863,32746900,32773125,"111136152",32746900,32773125,"XM_022486810.1","Q5ZKQ7","GID8_CHICK",2e-85,"glucose-induced degradation protein 8 homolog"
