"","chr","start","end","meth.diff","strand","pvalue","qvalue","dist-to-closest-gene","gene-chr","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-Accession","Uniprot-ID","evalue","Product"
"1","NC_035780.1",401631,401631,53.6670362743545,"+",1.9894967724195e-27,4.12259429890381e-25,0,"NC_035780.1",394983,409280,"111117672",394983,409280,"XM_022456873.1","O15118","NPC1_HUMAN",0,"Niemann-Pick C1 protein-like"
"2","NC_035780.1",571139,571139,58.2278481012658,"+",9.537633295453e-30,2.55316307346757e-27,0,"NC_035780.1",544088,573497,"111114201",544088,573497,"XM_022452489.1","Q80TY5","VP13B_MOUSE",0,"vacuolar protein sorting-associated protein 13B-like"
"3","NC_035780.1",1882692,1882692,64.8148148148148,"+",1.54857474241667e-28,3.67257165563022e-26,0,"NC_035780.1",1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1"
"4","NC_035780.1",1885023,1885023,61.2143987341772,"+",1.56214555549646e-14,6.6656460716732e-13,0,"NC_035780.1",1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1"
"5","NC_035780.1",1933500,1933500,51.324937688574,"+",1.26044543179399e-19,1.04857966005056e-17,0,"NC_035780.1",1928718,1940217,"111100652",1928718,1940217,"XM_022432742.1","Q8CI95","OSB11_MOUSE",0,"oxysterol-binding protein-related protein 11-like"
"20","NC_035780.1",2584493,2584493,56.4664786447676,"+",3.12717630109529e-57,9.28810093887902e-54,0,"NC_035780.1",2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog"
"21","NC_035780.1",2589721,2589721,57.042957042957,"+",1.68486904936225e-36,8.81255052160502e-34,0,"NC_035780.1",2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog"
"26","NC_035780.1",4286287,4286287,67.4630816383394,"+",7.52375071158354e-42,6.25701201644084e-39,0,"NC_035780.1",4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",2e-37,"calmodulin-regulated spectrin-associated protein 1-like"
"27","NC_035780.1",4286287,4286287,67.4630816383394,"+",7.52375071158354e-42,6.25701201644084e-39,0,"NC_035780.1",4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",5e-06,"calmodulin-regulated spectrin-associated protein 1-like"
"28","NC_035780.1",4286287,4286287,67.4630816383394,"+",7.52375071158354e-42,6.25701201644084e-39,0,"NC_035780.1",4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",1e-79,"calmodulin-regulated spectrin-associated protein 1-like"
"36","NC_035780.1",8833125,8833125,60.1254480286738,"+",1.87756815984505e-15,9.11352604694824e-14,0,"NC_035780.1",8829533,8833841,"111138481",8829533,8833841,"XM_022490472.1","Q8BTK5","SMYD4_MOUSE",4e-49,"SET and MYND domain-containing protein 4-like"
"38","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,0,"NC_035780.1",12630576,12697104,"111124937",12630576,12668032,"XM_022468284.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like"
"39","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,0,"NC_035780.1",12630576,12697104,"111124937",12630577,12697104,"XM_022468264.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like"
"40","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,0,"NC_035780.1",12630576,12697104,"111124937",12630576,12664103,"XM_022468274.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like"
"41","NC_035780.1",12631454,12631454,60.2577873254565,"+",7.95429303615801e-18,5.30762177974547e-16,0,"NC_035780.1",12630576,12697104,"111124937",12630577,12697104,"XM_022468254.1","Q60519","SEM5B_MOUSE",0,"semaphorin-5B-like"
"42","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,0,"NC_035780.1",15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-49,"MAM and LDL-receptor class A domain-containing protein 1-like"
"43","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,0,"NC_035780.1",15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-147,"MAM and LDL-receptor class A domain-containing protein 1-like"
"44","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,0,"NC_035780.1",15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",7e-174,"MAM and LDL-receptor class A domain-containing protein 1-like"
"45","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,0,"NC_035780.1",15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",2e-105,"MAM and LDL-receptor class A domain-containing protein 1-like"
"46","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,0,"NC_035780.1",15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",3e-22,"MAM and LDL-receptor class A domain-containing protein 1-like"
"47","NC_035780.1",15412265,15412265,50.931430328499,"+",3.76664422077054e-36,1.89464029942841e-33,0,"NC_035780.1",15350536,15428837,"111099722",15350536,15428837,"XM_022431146.1","B3EWZ5","MLRP1_ACRMI",1e-88,"MAM and LDL-receptor class A domain-containing protein 1-like"
