NC_035780.1	Gnomon	mRNA	1882692	1882693	.	+	.	ID=rna154;Parent=gene94;Dbxref=GeneID:111102439,Genbank:XM_022435187.1;Name=XM_022435187.1;gbkey=mRNA;gene=LOC111102439;model_evidence=Supporting evidence includes similarity to: 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=uncharacterized LOC111102439;transcript_id=XM_022435187.1	NC_035780.1	1882691	1882693	64
NC_035781.1	Gnomon	mRNA	20126030	20126031	.	-	.	ID=rna9080;Parent=gene5340;Dbxref=GeneID:111122222,Genbank:XM_022463862.1;Name=XM_022463862.1;gbkey=mRNA;gene=LOC111122222;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 18 samples with support for all annotated introns;product=phosphatidylinositol N-acetylglucosaminyltransferase subunit Q-like;transcript_id=XM_022463862.1	NC_035781.1	20126029	20126031	-52
NC_035781.1	Gnomon	mRNA	28992819	28992820	.	-	.	ID=rna9957;Parent=gene5845;Dbxref=GeneID:111119810,Genbank:XM_022460310.1;Name=XM_022460310.1;gbkey=mRNA;gene=LOC111119810;model_evidence=Supporting evidence includes similarity to: 20 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 12 samples with support for all annotated introns;product=ATP-dependent Clp protease proteolytic subunit-like;transcript_id=XM_022460310.1	NC_035781.1	28992818	28992820	52
NC_035781.1	Gnomon	mRNA	30062223	30062224	.	+	.	ID=rna10095;Parent=gene5931;Dbxref=GeneID:111122164,Genbank:XM_022463767.1;Name=XM_022463767.1;gbkey=mRNA;gene=LOC111122164;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 5 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 27 samples with support for all annotated introns;product=serine/threonine-protein kinase STK11-like;transcript_id=XM_022463767.1	NC_035781.1	30062222	30062224	60
NC_035781.1	Gnomon	mRNA	31150011	31150012	.	+	.	ID=rna10236;Parent=gene6018;Dbxref=GeneID:111119727,Genbank:XM_022460166.1;Name=XM_022460166.1;gbkey=mRNA;gene=LOC111119727;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 14 samples with support for all annotated introns;product=TATA element modulatory factor-like%2C transcript variant X3;transcript_id=XM_022460166.1	NC_035781.1	31150010	31150012	53
NC_035781.1	Gnomon	mRNA	31150011	31150012	.	+	.	ID=rna10237;Parent=gene6018;Dbxref=GeneID:111119727,Genbank:XM_022460164.1;Name=XM_022460164.1;gbkey=mRNA;gene=LOC111119727;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns;product=TATA element modulatory factor-like%2C transcript variant X1;transcript_id=XM_022460164.1	NC_035781.1	31150010	31150012	53
NC_035781.1	Gnomon	mRNA	31150011	31150012	.	+	.	ID=rna10238;Parent=gene6018;Dbxref=GeneID:111119727,Genbank:XM_022460169.1;Name=XM_022460169.1;gbkey=mRNA;gene=LOC111119727;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 20 samples with support for all annotated introns;product=TATA element modulatory factor-like%2C transcript variant X6;transcript_id=XM_022460169.1	NC_035781.1	31150010	31150012	53
NC_035781.1	Gnomon	mRNA	31150011	31150012	.	+	.	ID=rna10239;Parent=gene6018;Dbxref=GeneID:111119727,Genbank:XM_022460165.1;Name=XM_022460165.1;gbkey=mRNA;gene=LOC111119727;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 8 samples with support for all annotated introns;product=TATA element modulatory factor-like%2C transcript variant X2;transcript_id=XM_022460165.1	NC_035781.1	31150010	31150012	53
NC_035781.1	Gnomon	mRNA	31150011	31150012	.	+	.	ID=rna10240;Parent=gene6018;Dbxref=GeneID:111119727,Genbank:XM_022460168.1;Name=XM_022460168.1;gbkey=mRNA;gene=LOC111119727;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 15 samples with support for all annotated introns;product=TATA element modulatory factor-like%2C transcript variant X5;transcript_id=XM_022460168.1	NC_035781.1	31150010	31150012	53
NC_035781.1	Gnomon	mRNA	31150011	31150012	.	+	.	ID=rna10241;Parent=gene6018;Dbxref=GeneID:111119727,Genbank:XM_022460167.1;Name=XM_022460167.1;gbkey=mRNA;gene=LOC111119727;model_evidence=Supporting evidence includes similarity to: 2 Proteins%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=TATA element modulatory factor-like%2C transcript variant X4;transcript_id=XM_022460167.1	NC_035781.1	31150010	31150012	53
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12129;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458462.1;Name=XM_022458462.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 5 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X3;transcript_id=XM_022458462.1	NC_035781.1	49000882	49000884	61
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12130;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458469.1;Name=XM_022458469.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X9;transcript_id=XM_022458469.1	NC_035781.1	49000882	49000884	61
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12131;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458460.1;Name=XM_022458460.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X1;transcript_id=XM_022458460.1	NC_035781.1	49000882	49000884	61
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12132;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458461.1;Name=XM_022458461.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X2;transcript_id=XM_022458461.1	NC_035781.1	49000882	49000884	61
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12133;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458463.1;Name=XM_022458463.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 21 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X4;transcript_id=XM_022458463.1	NC_035781.1	49000882	49000884	61
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12134;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458467.1;Name=XM_022458467.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 23 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X7;transcript_id=XM_022458467.1	NC_035781.1	49000882	49000884	61
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12135;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458464.1;Name=XM_022458464.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 6 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X5;transcript_id=XM_022458464.1	NC_035781.1	49000882	49000884	61
NC_035781.1	Gnomon	mRNA	49000883	49000884	.	-	.	ID=rna12136;Parent=gene7200;Dbxref=GeneID:111118823,Genbank:XM_022458466.1;Name=XM_022458466.1;gbkey=mRNA;gene=LOC111118823;model_evidence=Supporting evidence includes similarity to: 1 EST%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 9 samples with support for all annotated introns;product=protein FAM149B1-like%2C transcript variant X6;transcript_id=XM_022458466.1	NC_035781.1	49000882	49000884	61
NC_035782.1	Gnomon	mRNA	49656583	49656584	.	+	.	ID=rna18771;Parent=gene10952;Dbxref=GeneID:111125429,Genbank:XM_022469219.1;Name=XM_022469219.1;gbkey=mRNA;gene=LOC111125429;model_evidence=Supporting evidence includes similarity to: 1 Protein%2C and 100%25 coverage of the annotated genomic feature by RNAseq alignments%2C including 7 samples with support for all annotated introns;product=uncharacterized LOC111125429%2C transcript variant X3;transcript_id=XM_022469219.1	NC_035782.1	49656582	49656584	53
