"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"417","NC_035780.1",571101,571200,"*",9.537633295453e-30,2.77680956023552e-27,58.2278481012658
"808","NC_035780.1",1885001,1885100,"*",6.58951122630166e-13,1.93883195828793e-11,50.0842637455235
"845","NC_035780.1",1933501,1933600,"*",1.51435512882537e-15,6.95807761584646e-14,53.7335482138061
"1111","NC_035780.1",2538901,2539000,"*",7.04346175157579e-15,2.90135695664298e-13,-50.2505846976278
"5550","NC_035780.1",22276701,22276800,"*",2.09485461364124e-46,3.13663384042611e-43,56.1352153758008
"7991","NC_035780.1",28563401,28563500,"*",2.80418009201776e-29,7.7306626444302e-27,61.5384615384615
"8870","NC_035780.1",31302901,31303000,"*",3.36717787196516e-34,1.64573246025411e-31,-60.7777777777778
"10048","NC_035780.1",35969101,35969200,"*",3.61526679125619e-15,1.55863175351484e-13,-53.350874477635
"10576","NC_035780.1",38236401,38236500,"*",9.95989456119202e-14,3.39789606664443e-12,50.4091954022988
"20424","NC_035781.1",5386401,5386500,"*",5.61831419176556e-26,1.07938161347928e-23,51.1635340749265
"21602","NC_035781.1",7626501,7626600,"*",3.52747736574691e-12,9.14141315236511e-11,-56.0918060918061
"23561","NC_035781.1",13281001,13281100,"*",2.29114808449035e-27,5.24573599055131e-25,-57.0743820743821
"25181","NC_035781.1",20126001,20126100,"*",3.03566919628151e-11,6.58608241537952e-10,-52.370820668693
"27116","NC_035781.1",24474501,24474600,"*",3.45344020244e-08,4.01894376756732e-07,53.0612244897959
"29253","NC_035781.1",30789601,30789700,"*",1.40822393607859e-27,3.32094907582682e-25,-57.1975318284777
"32490","NC_035781.1",43054101,43054200,"*",8.7163069639327e-30,2.54554324618217e-27,-60.0945906000591
"32656","NC_035781.1",43942601,43942700,"*",1.88633765592157e-09,2.88767442125774e-08,52.7777777777778
"32762","NC_035781.1",45110101,45110200,"*",8.44721413260697e-171,7.96826903684351e-166,71.8414918414918
"32763","NC_035781.1",45110201,45110300,"*",2.89208324660839e-13,9.09065716874506e-12,-51.2636100289681
"34420","NC_035781.1",53358701,53358800,"*",7.38592661008781e-36,4.24826525368327e-33,56.9805289160128
"34952","NC_035781.1",54151501,54151600,"*",1.69940154342897e-18,1.24750807712892e-16,54.6332046332046
"36618","NC_035781.1",59605701,59605800,"*",2.60483537937736e-32,1.00702659711978e-29,-54.1341011929247
"56152","NC_035782.1",65377001,65377100,"*",7.60624663879606e-24,1.15725535656205e-21,51.6207429851971
"65227","NC_035783.1",19526001,19526100,"*",6.98535037927819e-42,7.08525902263054e-39,50.0672109927313
"65390","NC_035783.1",19594301,19594400,"*",8.88964468448203e-13,2.55447975714077e-11,51.4217379750199
"66612","NC_035783.1",20710001,20710100,"*",1.34370537066003e-71,2.11253196055504e-67,68.8934360455786
"67387","NC_035783.1",21111701,21111800,"*",2.913435696093e-22,3.59718326195629e-20,66.5147025302029
"69201","NC_035783.1",30386501,30386600,"*",1.38465536881228e-11,3.20134158700768e-10,52.3529411764706
"71674","NC_035783.1",38039001,38039100,"*",2.01168586571169e-16,1.07271120516344e-14,-51.0269865067466
"72074","NC_035783.1",42295601,42295700,"*",3.37831713253877e-41,3.186771328542e-38,-51.5522875816994
"77734","NC_035783.1",58980001,58980100,"*",1.57722528111622e-46,2.43901448868283e-43,-61.8371212121212
"78665","NC_035784.1",2256801,2256900,"*",2.97995735512638e-19,2.44647344401378e-17,-52.3361823361823
"78772","NC_035784.1",2333201,2333300,"*",2.91088194297029e-27,6.50672761422414e-25,63.8782051282051
"78855","NC_035784.1",2353601,2353700,"*",1.71098849700467e-26,3.50864754087869e-24,52.8727445394112
"82660","NC_035784.1",14145201,14145300,"*",4.1025449654353e-10,7.1665490138405e-09,54.649947753396
"84715","NC_035784.1",22572201,22572300,"*",1.08025954539e-16,6.00831578305513e-15,-57.2872133696075
"87469","NC_035784.1",36745801,36745900,"*",8.702726202171e-30,2.54554324618217e-27,63.4058704453441
"88768","NC_035784.1",39858401,39858500,"*",1.37152629634892e-34,6.95571341332301e-32,57.6592167721519
"89415","NC_035784.1",41345101,41345200,"*",1.15878953019077e-10,2.25471906460648e-09,-51.5625
"94225","NC_035784.1",52580901,52581000,"*",6.65800498561521e-09,9.0562444387764e-08,50.7936507936508
"96537","NC_035784.1",57163801,57163900,"*",1.35008494999503e-19,1.17160721484946e-17,-63.7755102040816
"97698","NC_035784.1",59387901,59388000,"*",1.47858715479789e-19,1.27258517705491e-17,-66.7357083678542
"98655","NC_035784.1",61208101,61208200,"*",3.88742740995457e-39,3.10764048574767e-36,52.5581395348837
"105477","NC_035784.1",81784701,81784800,"*",4.74747850642396e-12,1.20546519211728e-10,51.7203107658158
"106797","NC_035784.1",86309401,86309500,"*",1.34320633885362e-06,1.04516080089445e-05,-50.4385964912281
"108753","NC_035784.1",92841501,92841600,"*",1.59465549589823e-16,8.66498147666579e-15,-52.4036281179138
"109753","NC_035784.1",96023501,96023600,"*",3.54204003661853e-38,2.4749713892502e-35,57.1892117170755
"110041","NC_035784.1",96552801,96552900,"*",6.84769561146376e-18,4.60730453202834e-16,50.0833333333333
"111526","NC_035785.1",12703901,12704000,"*",6.22713023405873e-30,1.85887998602227e-27,56.1190476190476
"113138","NC_035785.1",31238801,31238900,"*",1.15149582257922e-18,8.6896611025353e-17,59.6476816356334
"113405","NC_035785.1",31878901,31879000,"*",4.36528362003622e-24,6.85154444577127e-22,-57.516339869281
"114872","NC_035785.1",35798101,35798200,"*",4.00538755796487e-50,9.68791730157102e-47,-52.6616729522585
"116887","NC_035785.1",43840301,43840400,"*",9.91448568823502e-55,3.46383272970257e-51,59.3021705805248
"122148","NC_035786.1",41858501,41858600,"*",5.05244911024724e-29,1.3656110001644e-26,-50.2873867202652
"124815","NC_035786.1",53586401,53586500,"*",4.21501675335301e-23,5.76236415082269e-21,-51.7045454545455
"131157","NC_035787.1",47281001,47281100,"*",2.8342292164875e-25,5.02543689457439e-23,50.9390629784628
"131802","NC_035787.1",48392301,48392400,"*",2.44428510287605e-16,1.28881922532575e-14,-51.4386337962655
"132408","NC_035787.1",52112601,52112700,"*",5.87476148494248e-44,7.10470617498689e-41,-53.0600722673893
"133324","NC_035787.1",55630801,55630900,"*",3.32766644712235e-37,2.10670635259158e-34,-51.2987012987013
"133955","NC_035787.1",59175601,59175700,"*",5.29324017028666e-11,1.09690706019806e-09,62.9644268774704
"135371","NC_035787.1",61149801,61149900,"*",4.40697494371766e-17,2.60144286388902e-15,-53.7004442209371
"137346","NC_035787.1",69874001,69874100,"*",1.76953672845303e-24,2.89792794848076e-22,-59.149959903769
"137777","NC_035787.1",73255301,73255400,"*",1.21473276407419e-31,4.39026488182028e-29,64.3415906127771
"138584","NC_035788.1",13021301,13021400,"*",6.21070064776747e-32,2.32482646978098e-29,57.5867552909514
"138918","NC_035788.1",18651901,18652000,"*",9.89672091534115e-22,1.14970330477885e-19,50.4519135715295
"142867","NC_035788.1",56052701,56052800,"*",2.27772397141553e-31,8.07736933556418e-29,-73.2383067999506
"142877","NC_035788.1",56054501,56054600,"*",8.50129998967409e-63,5.72806307307141e-59,-51.5209140445368
"144305","NC_035788.1",64582301,64582400,"*",4.15773105354742e-44,5.09349815900126e-41,-68.1609288075466
"145674","NC_035788.1",70761601,70761700,"*",3.29857421933684e-42,3.41928541291303e-39,55.1347769989887
"147021","NC_035788.1",76583401,76583500,"*",5.06086648759803e-24,7.89078101575558e-22,-58.5846628924344
"149174","NC_035788.1",90709001,90709100,"*",3.54781217124556e-26,6.95770527701469e-24,-54.1808433859161
