"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"1111","NC_035780.1",2538901,2539000,"*",7.04346175157579e-15,2.90135695664298e-13,-50.2505846976278
"8870","NC_035780.1",31302901,31303000,"*",3.36717787196516e-34,1.64573246025411e-31,-60.7777777777778
"10048","NC_035780.1",35969101,35969200,"*",3.61526679125619e-15,1.55863175351484e-13,-53.350874477635
"21602","NC_035781.1",7626501,7626600,"*",3.52747736574691e-12,9.14141315236511e-11,-56.0918060918061
"23561","NC_035781.1",13281001,13281100,"*",2.29114808449035e-27,5.24573599055131e-25,-57.0743820743821
"25181","NC_035781.1",20126001,20126100,"*",3.03566919628151e-11,6.58608241537952e-10,-52.370820668693
"29253","NC_035781.1",30789601,30789700,"*",1.40822393607859e-27,3.32094907582682e-25,-57.1975318284777
"32490","NC_035781.1",43054101,43054200,"*",8.7163069639327e-30,2.54554324618217e-27,-60.0945906000591
"32763","NC_035781.1",45110201,45110300,"*",2.89208324660839e-13,9.09065716874506e-12,-51.2636100289681
"36618","NC_035781.1",59605701,59605800,"*",2.60483537937736e-32,1.00702659711978e-29,-54.1341011929247
"71674","NC_035783.1",38039001,38039100,"*",2.01168586571169e-16,1.07271120516344e-14,-51.0269865067466
"72074","NC_035783.1",42295601,42295700,"*",3.37831713253877e-41,3.186771328542e-38,-51.5522875816994
"77734","NC_035783.1",58980001,58980100,"*",1.57722528111622e-46,2.43901448868283e-43,-61.8371212121212
"78665","NC_035784.1",2256801,2256900,"*",2.97995735512638e-19,2.44647344401378e-17,-52.3361823361823
"84715","NC_035784.1",22572201,22572300,"*",1.08025954539e-16,6.00831578305513e-15,-57.2872133696075
"89415","NC_035784.1",41345101,41345200,"*",1.15878953019077e-10,2.25471906460648e-09,-51.5625
"96537","NC_035784.1",57163801,57163900,"*",1.35008494999503e-19,1.17160721484946e-17,-63.7755102040816
"97698","NC_035784.1",59387901,59388000,"*",1.47858715479789e-19,1.27258517705491e-17,-66.7357083678542
"106797","NC_035784.1",86309401,86309500,"*",1.34320633885362e-06,1.04516080089445e-05,-50.4385964912281
"108753","NC_035784.1",92841501,92841600,"*",1.59465549589823e-16,8.66498147666579e-15,-52.4036281179138
"113405","NC_035785.1",31878901,31879000,"*",4.36528362003622e-24,6.85154444577127e-22,-57.516339869281
"114872","NC_035785.1",35798101,35798200,"*",4.00538755796487e-50,9.68791730157102e-47,-52.6616729522585
"122148","NC_035786.1",41858501,41858600,"*",5.05244911024724e-29,1.3656110001644e-26,-50.2873867202652
"124815","NC_035786.1",53586401,53586500,"*",4.21501675335301e-23,5.76236415082269e-21,-51.7045454545455
"131802","NC_035787.1",48392301,48392400,"*",2.44428510287605e-16,1.28881922532575e-14,-51.4386337962655
"132408","NC_035787.1",52112601,52112700,"*",5.87476148494248e-44,7.10470617498689e-41,-53.0600722673893
"133324","NC_035787.1",55630801,55630900,"*",3.32766644712235e-37,2.10670635259158e-34,-51.2987012987013
"135371","NC_035787.1",61149801,61149900,"*",4.40697494371766e-17,2.60144286388902e-15,-53.7004442209371
"137346","NC_035787.1",69874001,69874100,"*",1.76953672845303e-24,2.89792794848076e-22,-59.149959903769
"142867","NC_035788.1",56052701,56052800,"*",2.27772397141553e-31,8.07736933556418e-29,-73.2383067999506
"142877","NC_035788.1",56054501,56054600,"*",8.50129998967409e-63,5.72806307307141e-59,-51.5209140445368
"144305","NC_035788.1",64582301,64582400,"*",4.15773105354742e-44,5.09349815900126e-41,-68.1609288075466
"147021","NC_035788.1",76583401,76583500,"*",5.06086648759803e-24,7.89078101575558e-22,-58.5846628924344
"149174","NC_035788.1",90709001,90709100,"*",3.54781217124556e-26,6.95770527701469e-24,-54.1808433859161
