NC_035781.1	20125253	20126253	NC_035781.1	20126029	20126031	-52	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	90909406	90910406	NC_035784.1	90909622	90909624	-65	2
