NC_035780.1	1881983	1882983	NC_035780.1	1882691	1882693	64	2
NC_035781.1	20125253	20126253	NC_035781.1	20126029	20126031	-52	2
NC_035781.1	28992058	28993058	NC_035781.1	28992818	28992820	52	2
NC_035781.1	30061881	30062881	NC_035781.1	30062222	30062224	60	2
NC_035781.1	31149350	31150350	NC_035781.1	31150010	31150012	53	2
NC_035781.1	31149350	31150350	NC_035781.1	31150010	31150012	53	2
NC_035781.1	31149350	31150350	NC_035781.1	31150010	31150012	53	2
NC_035781.1	31149350	31150350	NC_035781.1	31150010	31150012	53	2
NC_035781.1	31149350	31150350	NC_035781.1	31150010	31150012	53	2
NC_035781.1	31149350	31150350	NC_035781.1	31150010	31150012	53	2
NC_035781.1	49000124	49001124	NC_035781.1	49000882	49000884	61	2
NC_035781.1	49000123	49001123	NC_035781.1	49000882	49000884	61	2
NC_035781.1	49000119	49001119	NC_035781.1	49000882	49000884	61	2
NC_035781.1	49000118	49001118	NC_035781.1	49000882	49000884	61	2
NC_035781.1	49000118	49001118	NC_035781.1	49000882	49000884	61	2
NC_035781.1	49000117	49001117	NC_035781.1	49000882	49000884	61	2
NC_035781.1	49000124	49001124	NC_035781.1	49000882	49000884	61	2
NC_035781.1	49000124	49001124	NC_035781.1	49000882	49000884	61	2
NC_035782.1	49655673	49656673	NC_035782.1	49656582	49656584	53	2
NC_035782.1	49655673	49656673	NC_035782.1	49656582	49656584	53	2
NC_035782.1	49655673	49656673	NC_035782.1	49656582	49656584	53	2
NC_035782.1	49655673	49656673	NC_035782.1	49656582	49656584	53	2
NC_035782.1	49655673	49656673	NC_035782.1	49656582	49656584	53	2
NC_035783.1	36586055	36587055	NC_035783.1	36586659	36586661	52	2
NC_035783.1	36586055	36587055	NC_035783.1	36586659	36586661	52	2
NC_035783.1	36586055	36587055	NC_035783.1	36586659	36586661	52	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	1061925	1062925	NC_035784.1	1062719	1062721	-51	2
NC_035784.1	21868509	21869509	NC_035784.1	21869174	21869176	51	2
NC_035784.1	49941089	49942089	NC_035784.1	49941160	49941162	52	2
NC_035784.1	52582157	52583157	NC_035784.1	52582702	52582704	60	2
NC_035784.1	52582157	52583157	NC_035784.1	52582702	52582704	60	2
NC_035784.1	90909406	90910406	NC_035784.1	90909622	90909624	-65	2
NC_035785.1	31238138	31239138	NC_035785.1	31238802	31238804	59	2
NC_035788.1	92753871	92754871	NC_035788.1	92754573	92754575	60	2
NC_035788.1	92753871	92754871	NC_035788.1	92754573	92754575	60	2
NC_035788.1	92753871	92754871	NC_035788.1	92754573	92754575	60	2
NC_035788.1	92753871	92754871	NC_035788.1	92754573	92754575	60	2
