"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"417","NC_035780.1",571101,571200,"*",9.537633295453e-30,2.77680956023552e-27,58.2278481012658
"808","NC_035780.1",1885001,1885100,"*",6.58951122630166e-13,1.93883195828793e-11,50.0842637455235
"845","NC_035780.1",1933501,1933600,"*",1.51435512882537e-15,6.95807761584646e-14,53.7335482138061
"5550","NC_035780.1",22276701,22276800,"*",2.09485461364124e-46,3.13663384042611e-43,56.1352153758008
"7991","NC_035780.1",28563401,28563500,"*",2.80418009201776e-29,7.7306626444302e-27,61.5384615384615
"10576","NC_035780.1",38236401,38236500,"*",9.95989456119202e-14,3.39789606664443e-12,50.4091954022988
"20424","NC_035781.1",5386401,5386500,"*",5.61831419176556e-26,1.07938161347928e-23,51.1635340749265
"27116","NC_035781.1",24474501,24474600,"*",3.45344020244e-08,4.01894376756732e-07,53.0612244897959
"32656","NC_035781.1",43942601,43942700,"*",1.88633765592157e-09,2.88767442125774e-08,52.7777777777778
"32762","NC_035781.1",45110101,45110200,"*",8.44721413260697e-171,7.96826903684351e-166,71.8414918414918
"34420","NC_035781.1",53358701,53358800,"*",7.38592661008781e-36,4.24826525368327e-33,56.9805289160128
"34952","NC_035781.1",54151501,54151600,"*",1.69940154342897e-18,1.24750807712892e-16,54.6332046332046
"56152","NC_035782.1",65377001,65377100,"*",7.60624663879606e-24,1.15725535656205e-21,51.6207429851971
"65227","NC_035783.1",19526001,19526100,"*",6.98535037927819e-42,7.08525902263054e-39,50.0672109927313
"65390","NC_035783.1",19594301,19594400,"*",8.88964468448203e-13,2.55447975714077e-11,51.4217379750199
"66612","NC_035783.1",20710001,20710100,"*",1.34370537066003e-71,2.11253196055504e-67,68.8934360455786
"67387","NC_035783.1",21111701,21111800,"*",2.913435696093e-22,3.59718326195629e-20,66.5147025302029
"69201","NC_035783.1",30386501,30386600,"*",1.38465536881228e-11,3.20134158700768e-10,52.3529411764706
"78772","NC_035784.1",2333201,2333300,"*",2.91088194297029e-27,6.50672761422414e-25,63.8782051282051
"78855","NC_035784.1",2353601,2353700,"*",1.71098849700467e-26,3.50864754087869e-24,52.8727445394112
"82660","NC_035784.1",14145201,14145300,"*",4.1025449654353e-10,7.1665490138405e-09,54.649947753396
"87469","NC_035784.1",36745801,36745900,"*",8.702726202171e-30,2.54554324618217e-27,63.4058704453441
"88768","NC_035784.1",39858401,39858500,"*",1.37152629634892e-34,6.95571341332301e-32,57.6592167721519
"94225","NC_035784.1",52580901,52581000,"*",6.65800498561521e-09,9.0562444387764e-08,50.7936507936508
"98655","NC_035784.1",61208101,61208200,"*",3.88742740995457e-39,3.10764048574767e-36,52.5581395348837
"105477","NC_035784.1",81784701,81784800,"*",4.74747850642396e-12,1.20546519211728e-10,51.7203107658158
"109753","NC_035784.1",96023501,96023600,"*",3.54204003661853e-38,2.4749713892502e-35,57.1892117170755
"110041","NC_035784.1",96552801,96552900,"*",6.84769561146376e-18,4.60730453202834e-16,50.0833333333333
"111526","NC_035785.1",12703901,12704000,"*",6.22713023405873e-30,1.85887998602227e-27,56.1190476190476
"113138","NC_035785.1",31238801,31238900,"*",1.15149582257922e-18,8.6896611025353e-17,59.6476816356334
"116887","NC_035785.1",43840301,43840400,"*",9.91448568823502e-55,3.46383272970257e-51,59.3021705805248
"131157","NC_035787.1",47281001,47281100,"*",2.8342292164875e-25,5.02543689457439e-23,50.9390629784628
"133955","NC_035787.1",59175601,59175700,"*",5.29324017028666e-11,1.09690706019806e-09,62.9644268774704
"137777","NC_035787.1",73255301,73255400,"*",1.21473276407419e-31,4.39026488182028e-29,64.3415906127771
"138584","NC_035788.1",13021301,13021400,"*",6.21070064776747e-32,2.32482646978098e-29,57.5867552909514
"138918","NC_035788.1",18651901,18652000,"*",9.89672091534115e-22,1.14970330477885e-19,50.4519135715295
"145674","NC_035788.1",70761601,70761700,"*",3.29857421933684e-42,3.41928541291303e-39,55.1347769989887
