NC_035781.1	20126029	20126031	NC_035781.1	20126029	20126031	-52
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	90909622	90909624	NC_035784.1	90909622	90909624	-65
