ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
A6H184	30S ribosomal protein S15(rpsO)	Flavobacterium psychrophilum JIP02/86			GO:0006412~translation,	GO:0005840~ribosome,	GO:0003735~structural constituent of ribosome,GO:0019843~rRNA binding,	IPR000589:Ribosomal protein S15,IPR005290:Ribosomal protein S15, bacterial-type,IPR009068:S15/NS1, RNA-binding,	fps03010:Ribosome,			SM01387:SM01387,	Complete proteome,Reference proteome,Ribonucleoprotein,Ribosomal protein,RNA-binding,rRNA-binding,	chain:30S ribosomal protein S15,
Q1EHB3	ADAM metallopeptidase with thrombospondin type 1 motif, 7(Adamts7)	Rattus norvegicus			GO:0006508~proteolysis,GO:0032331~negative regulation of chondrocyte differentiation,GO:0051603~proteolysis involved in cellular protein catabolic process,GO:0071347~cellular response to interleukin-1,GO:0071356~cellular response to tumor necrosis factor,GO:0071773~cellular response to BMP stimulus,GO:0098779~mitophagy in response to mitochondrial depolarization,	GO:0005578~proteinaceous extracellular matrix,GO:0009986~cell surface,	GO:0004222~metalloendopeptidase activity,GO:0008237~metallopeptidase activity,GO:0008270~zinc ion binding,	IPR000884:Thrombospondin, type 1 repeat,IPR001590:Peptidase M12B, ADAM/reprolysin,IPR002870:Peptidase M12B, propeptide,IPR010294:ADAM-TS Spacer 1,IPR010909:PLAC,IPR013273:Peptidase M12B, ADAM-TS,IPR024079:Metallopeptidase, catalytic domain,				SM00209:TSP1,	Alternative splicing,Cleavage on pair of basic residues,Complete proteome,Disulfide bond,Extracellular matrix,Glycoprotein,Hydrolase,Metal-binding,Metalloprotease,Protease,Proteoglycan,Reference proteome,Repeat,Secreted,Signal,	chain:A disintegrin and metalloproteinase with thrombospondin motifs 7,compositionally biased region:Cys-rich,disulfide bond,domain:Disintegrin,domain:Peptidase M12B,domain:PLAC,domain:TSP type-1 1,domain:TSP type-1 2,domain:TSP type-1 3,domain:TSP type-1 4,domain:TSP type-1 5,domain:TSP type-1 6,domain:TSP type-1 7,domain:TSP type-1 8,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Zinc; catalytic,metal ion-binding site:Zinc; in inhibited form,region of interest:Spacer,short sequence motif:Cysteine switch,signal peptide,splice variant,
Q969Q4	ADP ribosylation factor like GTPase 11(ARL11)	Homo sapiens			GO:0002244~hematopoietic progenitor cell differentiation,GO:0007264~small GTPase mediated signal transduction,	GO:0005622~intracellular,	GO:0005515~protein binding,GO:0005525~GTP binding,	IPR005225:Small GTP-binding protein domain,IPR006689:Small GTPase superfamily, ARF/SAR type,IPR024156:Small GTPase superfamily, ARF type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Complete proteome,GTP-binding,Lipoprotein,Myristate,Nucleotide-binding,Polymorphism,Reference proteome,	chain:ADP-ribosylation factor-like protein 11,lipid moiety-binding region:N-myristoyl glycine,modified residue,nucleotide phosphate-binding region:GTP,sequence variant,
Q755N4	AFL221Cp(AGOS_AFL221C)	Eremothecium gossypii ATCC 10895			GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,GO:0006364~rRNA processing,GO:0010501~RNA secondary structure unwinding,GO:0071042~nuclear polyadenylation-dependent mRNA catabolic process,GO:1990120~messenger ribonucleoprotein complex assembly,	GO:0005730~nucleolus,GO:0005739~mitochondrion,GO:0005829~cytosol,	GO:0003723~RNA binding,GO:0004004~ATP-dependent RNA helicase activity,GO:0005524~ATP binding,	IPR000629:RNA helicase, ATP-dependent, DEAD-box, conserved site,IPR001650:Helicase, C-terminal,IPR011545:DNA/RNA helicase, DEAD/DEAH box type, N-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR014014:RNA helicase, DEAD-box type, Q motif,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	ago03040:Spliceosome,			SM00487:DEXDc,SM00490:HELICc,	ATP-binding,Complete proteome,Cytoplasm,Helicase,Hydrolase,Nonsense-mediated mRNA decay,Nucleotide-binding,Nucleus,Reference proteome,Ribosome biogenesis,RNA-binding,rRNA processing,	chain:ATP-dependent RNA helicase dbp2,domain:Helicase ATP-binding,domain:Helicase C-terminal,nucleotide phosphate-binding region:ATP,region of interest:RNA-binding RGG-box,short sequence motif:DEAD box,short sequence motif:Q motif,
Q0V9S3	CBP80/20-dependent translation initiation factor(ctif)	Xenopus tropicalis			GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,GO:0006446~regulation of translational initiation,	GO:0048471~perinuclear region of cytoplasm,	GO:0003723~RNA binding,	IPR003890:MIF4G-like, type 3,IPR016021:MIF4-like, type 1/2/3,IPR016024:Armadillo-type fold,				SM00543:MIF4G,	Complete proteome,Cytoplasm,Nonsense-mediated mRNA decay,Reference proteome,Translation regulation,	chain:CBP80/20-dependent translation initiation factor,domain:MIF4G,
Q8I8U7	CG33554 gene product from transcript CG33554-RE(Nipped-A)	Drosophila melanogaster			GO:0000281~mitotic cytokinesis,GO:0006281~DNA repair,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006909~phagocytosis,GO:0016573~histone acetylation,GO:0035222~wing disc pattern formation,GO:0043486~histone exchange,GO:0043966~histone H3 acetylation,GO:0045747~positive regulation of Notch signaling pathway,	GO:0000123~histone acetyltransferase complex,GO:0000124~SAGA complex,GO:0005634~nucleus,GO:0005700~polytene chromosome,GO:0005703~polytene chromosome puff,GO:0005737~cytoplasm,GO:0005875~microtubule associated complex,GO:0035267~NuA4 histone acetyltransferase complex,	GO:0004402~histone acetyltransferase activity,GO:0016301~kinase activity,	IPR000403:Phosphatidylinositol 3-/4-kinase, catalytic domain,IPR003151:PIK-related kinase, FAT,IPR003152:PIK-related kinase, FATC,IPR011009:Protein kinase-like domain,IPR011989:Armadillo-like helical,IPR011990:Tetratricopeptide-like helical,IPR014009:PIK-related kinase,IPR016024:Armadillo-type fold,				SM00146:PI3Kc,SM01343:SM01343,	Activator,Acyltransferase,Chromatin regulator,Complete proteome,Nucleus,Proteomics identification,Reference proteome,Repeat,Transcription,Transcription regulation,Transferase,	chain:Transcription-associated protein 1,domain:FAT,domain:FATC,domain:PI3K/PI4K,repeat:HEAT 1,repeat:HEAT 2,repeat:HEAT 3,repeat:HEAT 4,repeat:HEAT 5,repeat:HEAT 6,sequence conflict,
Q9P0U4	CXXC finger protein 1(CXXC1)	Homo sapiens			GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0036498~IRE1-mediated unfolded protein response,GO:0045893~positive regulation of transcription, DNA-templated,GO:0051568~histone H3-K4 methylation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0016363~nuclear matrix,GO:0016607~nuclear speck,GO:0035097~histone methyltransferase complex,GO:0048188~Set1C/COMPASS complex,	GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0003677~DNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0042800~histone methyltransferase activity (H3-K4 specific),GO:0045322~unmethylated CpG binding,	IPR001965:Zinc finger, PHD-type,IPR002857:Zinc finger, CXXC-type,IPR011011:Zinc finger, FYVE/PHD-type,IPR013083:Zinc finger, RING/FYVE/PHD-type,IPR019786:Zinc finger, PHD-type, conserved site,IPR019787:Zinc finger, PHD-finger,IPR022056:CpG binding protein, C-terminal,				SM00249:PHD,	3D-structure,Acetylation,Activator,Alternative splicing,Coiled coil,Complete proteome,DNA-binding,Isopeptide bond,Metal-binding,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,	chain:CpG-binding protein,compositionally biased region:Arg/Lys-rich (basic),compositionally biased region:Asp/Glu-rich (acidic),modified residue,mutagenesis site,sequence conflict,zinc finger region:CXXC-type,zinc finger region:PHD-type,
Q60452	ERCC excision repair 2, TFIIH core complex helicase subunit(Ercc2)	Cricetulus griseus			GO:0006283~transcription-coupled nucleotide-excision repair,GO:0006366~transcription from RNA polymerase II promoter,GO:0006468~protein phosphorylation,GO:0006915~apoptotic process,GO:0006979~response to oxidative stress,GO:0007059~chromosome segregation,GO:0033683~nucleotide-excision repair, DNA incision,GO:0035315~hair cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:1901990~regulation of mitotic cell cycle phase transition,	GO:0005675~holo TFIIH complex,GO:0005737~cytoplasm,GO:0005819~spindle,GO:0071817~MMXD complex,	GO:0003677~DNA binding,GO:0004003~ATP-dependent DNA helicase activity,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0043139~5'-3' DNA helicase activity,GO:0046872~metal ion binding,GO:0047485~protein N-terminus binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR001945:Xeroderma pigmentosum group D protein,IPR002464:DNA/RNA helicase, ATP-dependent, DEAH-box type, conserved site,IPR006554:Helicase-like, DEXD box c2 type,IPR006555:ATP-dependent helicase, C-terminal,IPR010614:DEAD2,IPR010643:Domain of unknown function DUF1227,IPR013020:DNA helicase (DNA repair), Rad3 type,IPR014013:Helicase, superfamily 1/2, ATP-binding domain, DinG/Rad3-type,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	cge03022:Basal transcription factors,cge03420:Nucleotide excision repair,			SM00488:DEXDc2,SM00491:HELICc2,	4Fe-4S,ATP-binding,Chromosome partition,Cytoplasm,Cytoskeleton,DNA damage,DNA repair,DNA-binding,Helicase,Hydrolase,Iron,Iron-sulfur,Magnesium,Metal-binding,Nucleotide-binding,Nucleus,Polymorphism,Transcription,Transcription regulation,Ubl conjugation,
Q03468	ERCC excision repair 6, chromatin remodeling factor(ERCC6)	Homo sapiens			GO:0000303~response to superoxide,GO:0006283~transcription-coupled nucleotide-excision repair,GO:0006284~base-excision repair,GO:0006290~pyrimidine dimer repair,GO:0006362~transcription elongation from RNA polymerase I promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0006979~response to oxidative stress,GO:0007256~activation of JNKK activity,GO:0007257~activation of JUN kinase activity,GO:0008630~intrinsic apoptotic signaling pathway in response to DNA damage,GO:0009411~response to UV,GO:0009636~response to toxic substance,GO:0010165~response to X-ray,GO:0010224~response to UV-B,GO:0010332~response to gamma radiation,GO:0032784~regulation of DNA-templated transcription, elongation,GO:0032786~positive regulation of DNA-templated transcription, elongation,GO:0035264~multicellular organism growth,GO:0045494~photoreceptor cell maintenance,GO:0045815~positive regulation of gene expression, epigenetic,GO:0061098~positive regulation of protein tyrosine kinase activity,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0008023~transcription elongation factor complex,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0003682~chromatin binding,GO:0004386~helicase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008022~protein C-terminus binding,GO:0008094~DNA-dependent ATPase activity,GO:0030296~protein tyrosine kinase activator activity,GO:0032403~protein complex binding,GO:0047485~protein N-terminus binding,	IPR000330:SNF2-related,IPR001650:Helicase, C-terminal,IPR014001:Helicase, superfamily 1/2, ATP-binding domain,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa03420:Nucleotide excision repair,	133540~Cockayne syndrome, type B,211980~Lung cancer, susceptibility to,214150~Cerebrooculofacioskeletal syndrome 1,278800~De Sanctis-Cacchione syndrome,600630~UV-sensitive syndrome 1,613761~Macular degeneration, age-related, susceptibility to 5,		SM00487:DEXDc,SM00490:HELICc,	3D-structure,Age-related macular degeneration,ATP-binding,Cataract,Cockayne syndrome,Complete proteome,Deafness,Disease mutation,DNA damage,DNA repair,DNA-binding,Dwarfism,Helicase,Hydrolase,Mental retardation,Methylation,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transcription,Transcription regulation,Ubl conjugation,Xeroderma pigmentosum,	chain:DNA excision repair protein ERCC-6,compositionally biased region:Asp/Glu-rich (acidic),compositionally biased region:Gly-rich,domain:Helicase ATP-binding,domain:Helicase C-terminal,modified residue,nucleotide phosphate-binding region:ATP,sequence variant,short sequence motif:DEGH box,short sequence motif:Nuclear localization signal,
Q8BH16	F-box and leucine-rich repeat protein 2(Fbxl2)	Mus musculus			GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006513~protein monoubiquitination,GO:0010506~regulation of autophagy,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0016567~protein ubiquitination,GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,	GO:0016020~membrane,GO:0019005~SCF ubiquitin ligase complex,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0019903~protein phosphatase binding,GO:0036312~phosphatidylinositol 3-kinase regulatory subunit binding,	IPR001611:Leucine-rich repeat,IPR001810:F-box domain, cyclin-like,IPR006553:Leucine-rich repeat, cysteine-containing subtype,				SM00256:FBOX,SM00367:LRR_CC,	Calcium,Calmodulin-binding,Complete proteome,Leucine-rich repeat,Lipoprotein,Membrane,Prenylation,Reference proteome,Repeat,Ubl conjugation pathway,	chain:F-box/LRR-repeat protein 2,domain:F-box,repeat:LRR 1,repeat:LRR 10,repeat:LRR 11,repeat:LRR 2,repeat:LRR 3,repeat:LRR 4,repeat:LRR 5,repeat:LRR 6,repeat:LRR 7,repeat:LRR 8,repeat:LRR 9,sequence conflict,
