NC_035780.1	1882691	1882693	NC_035780.1	1882691	1882693	64
NC_035781.1	20126029	20126031	NC_035781.1	20126029	20126031	-52
NC_035781.1	28992818	28992820	NC_035781.1	28992818	28992820	52
NC_035781.1	30062222	30062224	NC_035781.1	30062222	30062224	60
NC_035781.1	31150010	31150012	NC_035781.1	31150010	31150012	53
NC_035781.1	31150010	31150012	NC_035781.1	31150010	31150012	53
NC_035781.1	31150010	31150012	NC_035781.1	31150010	31150012	53
NC_035781.1	31150010	31150012	NC_035781.1	31150010	31150012	53
NC_035781.1	31150010	31150012	NC_035781.1	31150010	31150012	53
NC_035781.1	31150010	31150012	NC_035781.1	31150010	31150012	53
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035781.1	49000882	49000884	NC_035781.1	49000882	49000884	61
NC_035782.1	49656582	49656584	NC_035782.1	49656582	49656584	53
NC_035782.1	49656582	49656584	NC_035782.1	49656582	49656584	53
NC_035782.1	49656582	49656584	NC_035782.1	49656582	49656584	53
NC_035782.1	49656582	49656584	NC_035782.1	49656582	49656584	53
NC_035782.1	49656582	49656584	NC_035782.1	49656582	49656584	53
NC_035783.1	36586659	36586661	NC_035783.1	36586659	36586661	52
NC_035783.1	36586659	36586661	NC_035783.1	36586659	36586661	52
NC_035783.1	36586659	36586661	NC_035783.1	36586659	36586661	52
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	1062719	1062721	NC_035784.1	1062719	1062721	-51
NC_035784.1	21869174	21869176	NC_035784.1	21869174	21869176	51
NC_035784.1	49941160	49941162	NC_035784.1	49941160	49941162	52
NC_035784.1	52582702	52582704	NC_035784.1	52582702	52582704	60
NC_035784.1	52582702	52582704	NC_035784.1	52582702	52582704	60
NC_035784.1	90909622	90909624	NC_035784.1	90909622	90909624	-65
NC_035785.1	31238802	31238804	NC_035785.1	31238802	31238804	59
NC_035788.1	92754573	92754575	NC_035788.1	92754573	92754575	60
NC_035788.1	92754573	92754575	NC_035788.1	92754573	92754575	60
NC_035788.1	92754573	92754575	NC_035788.1	92754573	92754575	60
NC_035788.1	92754573	92754575	NC_035788.1	92754573	92754575	60
