ID	Gene Name	Species	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
Q8K2C9	3-hydroxyacyl-CoA dehydratase 3(Hacd3)	Mus musculus			GO:0006629~lipid metabolic process,GO:0006631~fatty acid metabolic process,GO:0006633~fatty acid biosynthetic process,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007254~JNK cascade,GO:0007266~Rho protein signal transduction,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0042761~very long-chain fatty acid biosynthetic process,GO:0045070~positive regulation of viral genome replication,GO:0046726~positive regulation by virus of viral protein levels in host cell,	GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0005925~focal adhesion,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0031965~nuclear membrane,	GO:0005515~protein binding,GO:0016829~lyase activity,GO:0018812~3-hydroxyacyl-CoA dehydratase activity,GO:0019899~enzyme binding,GO:0102344~3-hydroxy-behenoyl-CoA dehydratase activity,GO:0102345~3-hydroxy-lignoceroyl-CoA dehydratase activity,	IPR007052:CS-like domain,IPR007482:Protein-tyrosine phosphatase-like, PTPLA,IPR008978:HSP20-like chaperone,	mmu00062:Fatty acid elongation,mmu01040:Biosynthesis of unsaturated fatty acids,mmu01212:Fatty acid metabolism,				Acetylation,Coiled coil,Complete proteome,Endoplasmic reticulum,Fatty acid biosynthesis,Fatty acid metabolism,Lipid biosynthesis,Lipid metabolism,Lyase,Membrane,Phosphoprotein,Reference proteome,Transmembrane,Transmembrane helix,	chain:Protein tyrosine phosphatase-like protein PTPLAD1,compositionally biased region:Poly-Arg,compositionally biased region:Poly-Lys,domain:CS,modified residue,sequence conflict,transmembrane region,
P25286	ATPase H+ transporting V0 subunit a1(Atp6v0a1)	Rattus norvegicus			GO:0007035~vacuolar acidification,GO:0015986~ATP synthesis coupled proton transport,GO:0015991~ATP hydrolysis coupled proton transport,GO:0016241~regulation of macroautophagy,GO:0070072~vacuolar proton-transporting V-type ATPase complex assembly,GO:1901998~toxin transport,	GO:0000220~vacuolar proton-transporting V-type ATPase, V0 domain,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0016471~vacuolar proton-transporting V-type ATPase complex,GO:0030659~cytoplasmic vesicle membrane,GO:0042470~melanosome,GO:0043195~terminal bouton,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,	GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046961~proton-transporting ATPase activity, rotational mechanism,GO:0051117~ATPase binding,	IPR002490:ATPase, V0 complex, subunit 116kDa,IPR026028:ATPase, V0 complex, subunit 116kDa, eukaryotic,	rno00190:Oxidative phosphorylation,rno01100:Metabolic pathways,rno04142:Lysosome,rno04145:Phagosome,rno04721:Synaptic vesicle cycle,rno04966:Collecting duct acid secretion,rno05152:Tuberculosis,rno05323:Rheumatoid arthritis,		PIRSF001293:V-type proton ATPase 116 kda subunit a isoform 1,		Alternative splicing,Coiled coil,Complete proteome,Cytoplasmic vesicle,Hydrogen ion transport,Ion transport,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:V-type proton ATPase 116 kDa subunit a isoform 1,modified residue,splice variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
Q16720	ATPase plasma membrane Ca2+ transporting 3(ATP2B3)	Homo sapiens			GO:0006810~transport,GO:0006874~cellular calcium ion homeostasis,GO:0034220~ion transmembrane transport,GO:0070588~calcium ion transmembrane transport,GO:1903779~regulation of cardiac conduction,	GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0043231~intracellular membrane-bounded organelle,GO:1903561~extracellular vesicle,	GO:0005388~calcium-transporting ATPase activity,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0030165~PDZ domain binding,GO:0046872~metal ion binding,	IPR001757:Cation-transporting P-type ATPase,IPR004014:Cation-transporting P-type ATPase, N-terminal,IPR006068:Cation-transporting P-type ATPase, C-terminal,IPR006408:Calcium-transporting P-type ATPase, subfamily IIB,IPR008250:P-type ATPase, A  domain,IPR018303:P-type ATPase, phosphorylation site,IPR022141:Calcium transporting P-type ATPase, C-terminal, plasma membrane,IPR023214:HAD-like domain,IPR023298:P-type ATPase,  transmembrane domain,IPR023299:P-type ATPase, cytoplasmic domain N,	hsa04020:Calcium signaling pathway,hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04970:Salivary secretion,hsa04972:Pancreatic secretion,	302500~Spinocerebellar ataxia, X-linked 1,		SM00831:SM00831,	Alternative splicing,ATP-binding,Calcium,Calcium transport,Calmodulin-binding,Cell membrane,Coiled coil,Complete proteome,Disease mutation,Hydrolase,Ion transport,Magnesium,Membrane,Metal-binding,Neurodegeneration,Nucleotide-binding,Phosphoprotein,Polymorphism,Reference proteome,Signal,Transmembrane,Transmembrane helix,Transport,	active site:4-aspartylphosphate intermediate,chain:Plasma membrane calcium-transporting ATPase 3,compositionally biased region:Poly-Glu,compositionally biased region:Poly-Pro,metal ion-binding site:Magnesium,modified residue,region of interest:Calmodulin-binding subdomain A,region of interest:Calmodulin-binding subdomain B,sequence conflict,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
A6NE02	BTB domain containing 17(BTBD17)	Homo sapiens			GO:0009615~response to virus,GO:0045071~negative regulation of viral genome replication,	GO:0005576~extracellular region,GO:0005737~cytoplasm,GO:0005886~plasma membrane,		IPR000210:BTB/POZ-like,IPR011333:BTB/POZ fold,IPR011705:BTB/Kelch-associated,				SM00225:BTB,SM00875:SM00875,	Complete proteome,Glycoprotein,Reference proteome,Secreted,Signal,	chain:BTB/POZ domain-containing protein 17,domain:BACK,domain:BTB,glycosylation site:N-linked (GlcNAc...),signal peptide,
Q91ZR3	CREB/ATF bZIP transcription factor(Crebzf)	Mus musculus			GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0009615~response to virus,GO:0045814~negative regulation of gene expression, epigenetic,GO:0045892~negative regulation of transcription, DNA-templated,GO:0051090~regulation of sequence-specific DNA binding transcription factor activity,	GO:0005634~nucleus,	GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,	IPR004827:Basic-leucine zipper domain,IPR020850:GTPase effector domain, GED,					Coiled coil,Complete proteome,Nucleus,Phosphoprotein,Reference proteome,Transcription,Transcription regulation,	chain:CREB/ATF bZIP transcription factor,DNA-binding region:Basic motif,domain:Leucine-zipper,short sequence motif:HCFC1-binding motif (HBM),
Q66H62	CYLD lysine 63 deubiquitinase(Cyld)	Rattus norvegicus			GO:0006412~translation,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0007346~regulation of mitotic cell cycle,GO:0010803~regulation of tumor necrosis factor-mediated signaling pathway,GO:0016055~Wnt signaling pathway,GO:0016579~protein deubiquitination,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0042347~negative regulation of NF-kappaB import into nucleus,GO:0043369~CD4-positive or CD8-positive, alpha-beta T cell lineage commitment,GO:0043393~regulation of protein binding,GO:0045087~innate immune response,GO:0045577~regulation of B cell differentiation,GO:0045581~negative regulation of T cell differentiation,GO:0045582~positive regulation of T cell differentiation,GO:0048872~homeostasis of number of cells,GO:0050862~positive regulation of T cell receptor signaling pathway,GO:0070266~necroptotic process,GO:0070507~regulation of microtubule cytoskeleton organization,GO:0070536~protein K63-linked deubiquitination,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:1901026~ripoptosome assembly involved in necroptotic process,GO:1902017~regulation of cilium assembly,GO:1903829~positive regulation of cellular protein localization,GO:1990108~protein linear deubiquitination,GO:2001238~positive regulation of extrinsic apoptotic signaling pathway,GO:2001242~regulation of intrinsic apoptotic signaling pathway,	GO:0005813~centrosome,GO:0005819~spindle,GO:0005829~cytosol,GO:0005840~ribosome,GO:0005874~microtubule,GO:0005881~cytoplasmic microtubule,GO:0005886~plasma membrane,GO:0030496~midbody,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0036064~ciliary basal body,GO:0048471~perinuclear region of cytoplasm,GO:0097542~ciliary tip,	GO:0003735~structural constituent of ribosome,GO:0004843~thiol-dependent ubiquitin-specific protease activity,GO:0008270~zinc ion binding,GO:0019901~protein kinase binding,GO:0061578~Lys63-specific deubiquitinase activity,GO:0070064~proline-rich region binding,GO:1990380~Lys48-specific deubiquitinase activity,	IPR000938:CAP Gly-rich domain,IPR001394:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2,IPR001593:Ribosomal protein S3Ae,IPR018200:Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2, conserved site,IPR027500:40S ribosomal protein S1/3, eukaryotes,	rno04380:Osteoclast differentiation,rno04622:RIG-I-like receptor signaling pathway,			SM01052:SM01052,SM01397:SM01397,	Cell membrane,Cell projection,Complete proteome,Cytoplasm,Cytoskeleton,Hydrolase,Immunity,Innate immunity,Membrane,Metal-binding,Microtubule,Phosphoprotein,Protease,Reference proteome,Repeat,Ribonucleoprotein,Ribosomal protein,Thiol protease,Ubl conjugation pathway,Wnt signaling pathway,Zinc,	chain:Probable ubiquitin carboxyl-terminal hydrolase CYLD,domain:CAP-Gly 1,domain:CAP-Gly 2,modified residue,region of interest:Interaction with NEMO,region of interest:Interaction with TRAF2,region of interest:Interaction with TRIP,
P08761	Ecdysone-induced protein 28/29kD(Eip71CD)	Drosophila melanogaster			GO:0000096~sulfur amino acid metabolic process,GO:0006979~response to oxidative stress,GO:0008340~determination of adult lifespan,GO:0030091~protein repair,GO:0034599~cellular response to oxidative stress,GO:0035071~salivary gland cell autophagic cell death,GO:0048102~autophagic cell death,GO:0048812~neuron projection morphogenesis,GO:0055114~oxidation-reduction process,		GO:0008113~peptide-methionine (S)-S-oxide reductase activity,	IPR002569:Peptide methionine sulphoxide reductase MsrA,					Alternative splicing,Complete proteome,Oxidoreductase,Proteomics identification,Reference proteome,	chain:Peptide methionine sulfoxide reductase,sequence conflict,splice variant,
P34607	Exonuclease mut-7(mut-7)	Caenorhabditis elegans			GO:0000335~negative regulation of transposition, DNA-mediated,GO:0002119~nematode larval development,GO:0006139~nucleobase-containing compound metabolic process,GO:0008306~associative learning,GO:0008355~olfactory learning,GO:0009792~embryo development ending in birth or egg hatching,GO:0016246~RNA interference,GO:0016441~posttranscriptional gene silencing,GO:0031047~gene silencing by RNA,GO:0044747~mature miRNA 3'-end processing,GO:0051170~nuclear import,GO:0090305~nucleic acid phosphodiester bond hydrolysis,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0048471~perinuclear region of cytoplasm,	GO:0003676~nucleic acid binding,GO:0004518~nuclease activity,GO:0004527~exonuclease activity,GO:0005515~protein binding,GO:0008408~3'-5' exonuclease activity,GO:0016787~hydrolase activity,GO:0044748~3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing,GO:0046872~metal ion binding,	IPR002562:3'-5' exonuclease domain,IPR002782:Protein of unknown function DUF82,IPR012337:Ribonuclease H-like domain,				SM00474:35EXOc,	Complete proteome,Exonuclease,Hydrolase,Magnesium,Metal-binding,Nuclease,Reference proteome,RNA-mediated gene silencing,	chain:Probable exonuclease mut-7,domain:3'-5' exonuclease,
Q8IYB1	Mab-21 domain containing 2(MB21D2)	Homo sapiens			GO:0098609~cell-cell adhesion,	GO:0005913~cell-cell adherens junction,	GO:0032403~protein complex binding,GO:0098641~cadherin binding involved in cell-cell adhesion,	IPR024810:Mab-21 domain,				SM01265:SM01265,	Complete proteome,Direct protein sequencing,Phosphoprotein,Reference proteome,	chain:Uncharacterized protein C3orf59,modified residue,
Q6P8C4	NHP2 ribonucleoprotein(nhp2)	Xenopus tropicalis			GO:0000469~cleavage involved in rRNA processing,GO:0000470~maturation of LSU-rRNA,GO:0006412~translation,GO:0031118~rRNA pseudouridine synthesis,GO:0031120~snRNA pseudouridine synthesis,	GO:0005732~small nucleolar ribonucleoprotein complex,GO:0031429~box H/ACA snoRNP complex,	GO:0030515~snoRNA binding,GO:0034513~box H/ACA snoRNA binding,	IPR002415:H/ACA ribonucleoprotein complex, subunit Nhp2, eukaryote,IPR004037:Ribosomal protein L7Ae conserved site,IPR004038:Ribosomal protein L7Ae/L30e/S12e/Gadd45,IPR018492:Ribosomal protein L7Ae/L8/Nhp2 family,	xtr03008:Ribosome biogenesis in eukaryotes,				Complete proteome,Nucleus,Reference proteome,Ribonucleoprotein,Ribosome biogenesis,RNA-binding,rRNA processing,	chain:H/ACA ribonucleoprotein complex subunit 2-like protein,
