"","chr","start","end","meth.diff","strand","pvalue","qvalue","intron-start","intron-end","gene-start","gene-end","geneID","mRNA-start","mRNA-end","Genbank","Uniprot-ID","Uniprot-Accession","evalue","Product"
"1","NC_035780.1",401631,401631,53.6670362743545,"+",1.9894967724195e-27,4.12259429890381e-25,401604,401800,394983,409280,"111117672",394983,409280,"XM_022456873.1","O15118","NPC1_HUMAN",0,"Niemann-Pick C1 protein-like"
"2","NC_035780.1",1882692,1882692,64.8148148148148,"+",1.54857474241667e-28,3.67257165563022e-26,1882355,1882971,1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1"
"3","NC_035780.1",1885023,1885023,61.2143987341772,"+",1.56214555549646e-14,6.6656460716732e-13,1884754,1886042,1882143,1890106,"111102448",1882143,1890106,"XM_022435197.1","Q0MQI4","NDUV1_PONPY",0,"NADH dehydrogenase [ubiquinone] flavoprotein 1"
"4","NC_035780.1",1933500,1933500,51.324937688574,"+",1.26044543179399e-19,1.04857966005056e-17,1932876,1933573,1928718,1940217,"111100652",1928718,1940217,"XM_022432742.1","Q8CI95","OSB11_MOUSE",0,"oxysterol-binding protein-related protein 11-like"
"5","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2553408,"XM_022479322.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"6","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2547594,"XM_022479329.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"7","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2536871,"XM_022479370.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"8","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2543287,"XM_022479339.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"9","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2538955,"XM_022479355.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"10","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2537545,"XM_022479361.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"11","NC_035780.1",2541727,2541727,-54.9736072708992,"+",3.59921004770553e-41,2.78008782980908e-38,2538955,2541768,2524425,2553408,"111131682",2524425,2547989,"XM_022479346.1","B9EJ86","OSBL8_MOUSE",0,"oxysterol-binding protein-related protein 8-like"
"12","NC_035780.1",2584493,2584493,56.4664786447676,"+",3.12717630109529e-57,9.28810093887902e-54,2584153,2584504,2554181,2599559,"111128103",2554181,2599559,"XM_022473562.1","Q6PD62","CTR9_HUMAN",0,"RNA polymerase-associated protein CTR9 homolog"
"13","NC_035780.1",4288214,4288214,-58.168449197861,"+",1.03297953561797e-29,2.74460576897546e-27,4288128,4288230,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",5e-06,"calmodulin-regulated spectrin-associated protein 1-like"
"14","NC_035780.1",4288214,4288214,-58.168449197861,"+",1.03297953561797e-29,2.74460576897546e-27,4288128,4288230,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",2e-37,"calmodulin-regulated spectrin-associated protein 1-like"
"15","NC_035780.1",4288214,4288214,-58.168449197861,"+",1.03297953561797e-29,2.74460576897546e-27,4288128,4288230,4282771,4298209,"111127966",4282771,4298209,"XM_022473296.1","Q5T5Y3","CAMP1_HUMAN",1e-79,"calmodulin-regulated spectrin-associated protein 1-like"
"16","NC_035780.1",8833125,8833125,60.1254480286738,"+",1.87756815984505e-15,9.11352604694824e-14,8832171,8833699,8829533,8833841,"111138481",8829533,8833841,"XM_022490472.1","Q8BTK5","SMYD4_MOUSE",4e-49,"SET and MYND domain-containing protein 4-like"
"17","NC_035780.1",17488959,17488959,-57.0731707317073,"+",5.71400122627172e-26,1.01033910321041e-23,17488942,17489178,17457431,17541765,"111120886",17457431,17541765,"XM_022461910.1","Q9NU22","MDN1_HUMAN",0,"midasin-like"
"18","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22071505,22257650,"111126660",22071505,22257650,"XM_022471452.1","A8GH44","PDXB_SERP5",0.1,"uncharacterized LOC111126660"
"19","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22207238,22228175,"XM_022471397.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605"
"20","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22144258,22195974,"XM_022471362.1","Q9ULU4","PKCB1_HUMAN",2e-14,"uncharacterized LOC111126605"
"21","NC_035780.1",22177829,22177829,-51.8586936690385,"+",6.80803459919686e-29,1.66197583451533e-26,22154686,22178240,22144200,22228175,"111126605",22210805,22228175,"XM_022471388.1","Q9ULU4","PKCB1_HUMAN",1e-14,"uncharacterized LOC111126605"
